Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
,12 52 23.13| Office Chairs,2320,Maximum,,,,Ea.,74.5,,,74.5,82
,12 54 13.10| Hotel Furniture,10,HOTEL FURNITURE,,,,,,,,,
,12 54 13.10| Hotel Furniture,20,"Standard quality set, minimum",,,,Room,"2,675",,,"2,675","2,925"
,12 54 13.10| Hotel Furniture,200,Maximum,,,,"""","8,500",,,"8,500","9,350"
,"12 54 16.10| Tables, Folding",10,"TABLES, FOLDING Laminated plastictops",,,,,,,,,
,"12 54 16.10| Tables, Folding",1000,Tubular steel legs with glides,,,,,,,,,
,"12 54 16.10| Tables, Folding",1020,"18"" x 60"", minimum",,,,Ea.,157,,,157,172
,"12 54 16.10| Tables, Folding",1040,Maximum,,,,,249,,,249,274
,"12 54 16.10| Tables, Folding",1840,"36"" x 96"", minimum",,,,,355,,,355,390
,"12 54 16.10| Tables, Folding",1860,Maximum,,,,,"2,925",,,"2,925","3,200"
,"12 54 16.10| Tables, Folding",2000,"Round, wood stained, plywood top, 60"" diameter, minimum",,,,Ea.,125,,,125,137
,"12 54 16.10| Tables, Folding",2020,Maximum,,,,,400,,,400,445
,"12 54 16.20| Furniture, Restaurant",10,"FURNITURE, RESTAURANT",,,,,,,,,
,"12 54 16.20| Furniture, Restaurant",20,"Bars, buil-in, front bar",1 Carp,5.0,1.6,LF,320.0,905.0,,410.0,490.0
,"12 54 16.20| Furniture, Restaurant",200,Back bar,"""",5.0,1.6,"""",234.0,90.0,,324.0,390.0
,"12 54 16.20| Furniture, Restaurant",300,"Booth seating, see Section 12:54 16.70",,,,,,,,,
,"12 54 16.20| Furniture, Restaurant",2000,"Chair, bentwood side chair, metal, minimum",,,,Ea.,113.0,,,113.0,124.0
,"12 54 16.20| Furniture, Restaurant",2020,Maximum,,,,,132.0,,,132.0,146.0
,"12 54 16.20| Furniture, Restaurant",2600,"Upholstered seat & back, arms, minimum",,,,,182.0,,,182.0,200.0
,"12 54 16.20| Furniture, Restaurant",2620,Maximum,,,,,555.0,,,555.0,610.0
,12 54 16.70| Booths,10,BOOTHS,,,,,,,,,
,12 54 16.70| Booths,1000,"Banquet, upholstered seat and back, custom",,,,,,,,,
,12 54 16.70| Booths,1500,"Straight, minimum",2 Carp,40.0,0.4,LF,225,22.5,,247.50,281
,12 54 16.70| Booths,1520,Maximum,,36.0,0.444,,"1,325",25.0,,"1,350","1,475"
,12 54 16.70| Booths,1600,"""L"" or ""U"" shape, minimum",,35.0,0.457,,229,25.5,,254.50,291
,12 54 16.70| Booths,1620,Maximum,,30.0,0.533,,405,30.0,,435,495
,12 54 16.70| Booths,1800,Upholstered outside finished backs for,,,,,,,,,
,12 54 16.70| Booths,1810,single booths and custom banquets,,,,,,,,,
,12 54 16.70| Booths,1820,Minimum,2 Carp,444.0,0.364,LF.,31.50,20.5,,52,65
,12 54 16.70| Booths,1840,Maximum,,40.0,0.4,"""",84.50,22.5,,107,127
,12 54 16.70| Booths,3000,"Fixed seating, one piece plastic chair and",,,,,,,,,
,12 54 16.70| Booths,3010,plastic laminate table top,,,,,,,,,
,12 54 16.70| Booths,3100,"Two seat, 24"" x 24"" table, minimum",F-7,30.0,1.067,Ea.,905,54.5,,959.50,"1,075"
,12 54 16.70| Booths,3120,Maximum,,26.0,1.231,,"1,275",62.5,,"1,337.50","1,525"
,12 54 16.70| Booths,3200,"Four seat, 24"" x 48"" table, minimum",,28.0,1.143,,895,58.0,,953,"1,075"
,12 54 16.70| Booths,3220,Maximum,,24.0,1.333,,"1,525",68.0,,"1,593","1,775"
,12 54 16.70| Booths,5000,"Mount infloor, wood fiber core with",,,,,,,,,
,12 54 16.70| Booths,5010,"plastic laminate face, single booth",,,,,,4440,,,
,12 54 16.70| Booths,5050,"24"" wide",F 7,30.0,1.067,Ea.,345,54.5,,399.50,460
,12 54 16.70| Booths,5100,"48"" wide","""",28.0,1.143,"""",440,58.0,,498,570
,12 51 16 Furniture Case Goods,10,METAL CASE GOODS,,,,,,,,,
,12 51 16 Furniture Case Goods,20,"Desks, 29"" high, double pedestal, 30"" x 60"", metal, minimum",,,,Ea.,"1,425",,,"1,425","1,550"
,12 51 16 Furniture Case Goods,30,Maximum,,,,,"1,650",,,"1,650","1,825"
,12 51 16 Furniture Case Goods,600,"Desks, single pedestal, 30"" x 60"", metal, minimum",,,,,"1,025",,,"1,025","1,125"
,12 51 16 Furniture Case Goods,620,Maximum,,,,,630,,,630,690
,12 51 16 Furniture Case Goods,720,"Desks, secretarial, 30"" x 60"", metal, minimum",,,,,530,,,530,585
,12 51 16 Furniture Case Goods,730,Maximum,,,,,590,,,590,650
,12 51 16 Furniture Case Goods,740,"Return, 20"" x 42"", minimum",,,,,400,,,400,440
,12 51 16 Furniture Case Goods,750,Maximum,,,,,700,,,700,765
,12 51 16 Furniture Case Goods,940,"59"" x 12"" x 23"" high, steel, minimum",,,,,320,,,320,350
,12 51 16 Furniture Case Goods,960,Maximum,,,,,480,,,480,530
