Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
13 05 05.10,"Selective Demolition, Air Supported Structures",10,"SELECTIVE DEMOLITION, AIR SUPPORTED STRUCTURES",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.10,"Selective Demolition, Air Supported Structures",20,"Tank covers, scrim, dbl. layer, vinyl poly w/hdwe., blower & controls",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.10,"Selective Demolition, Air Supported Structures",50,Round and rectangular,B-2,9000.0,0.004,S.E.,nan,200.0,nan,.20,.30
13 05 05.10,"Selective Demolition, Air Supported Structures",100,Warehouse structures,nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.10,"Selective Demolition, Air Supported Structures",120,"Poly/vinyl fabric, 28 oz., incl. tension cables & inflation system",4 Clab,9000.0,0.004,SF Flr.,nan,0.16,nan,62525,2424
13 05 05.10,"Selective Demolition, Air Supported Structures",150,"Reinforced vinyl, 12 oz., 3,000 S.F.",nan,5000.0,0.006,nan,nan,0.29,nan,.29,.43
13 05 05.10,"Selective Demolition, Air Supported Structures",200,"12,000 to 24,000 S.F.",8 Clab,20000.0,0.003,nan,,nan,0.15,nan,.15
13 05 05.10,"Selective Demolition, Air Supported Structures",250,"Tedlar vinyl fabric, 28 oz. w/liner, to 3,000 S.F.",4 Clab,5000.0,0.006,nan,nan,0.29,nan,.29,.43
13 05 05.10,"Selective Demolition, Air Supported Structures",300,"12,000 to 24,000 S.F.",8 Clab,20000.0,0.003,nan,nan,0.15,nan,.15,22
13 05 05.10,"Selective Demolition, Air Supported Structures",350,"Greenhouse/shelter, woven polyethylene with liner",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.10,"Selective Demolition, Air Supported Structures",400,"3,000 S.F.",4 Clab,5000.0,0.006,SF Flr.,2568,nan,nan,2568,.43
13 05 05.10,"Selective Demolition, Air Supported Structures",450,"12,000 to 24,000 S.F.",8 Clab,20000.0,0.003,nan,nan,0.15,nan,.15,22
13 05 05.10,"Selective Demolition, Air Supported Structures",500,"Tennis/gymnasium, poly/vinyl fabric, 28 oz., incl. thermal liner",4 Clab,9000.0,0.004,nan,nan,0.16,nan,.16,.24
13 05 05.10,"Selective Demolition, Air Supported Structures",600,"Stadium/convention center, teflon coated fiberglass, incl. liner",9 Clab,40000.0,2.0,nan,nan,0.08,nan,.08,.12
13 05 05.10,"Selective Demolition, Air Supported Structures",700,"Doors, air lock, 15' long, 10' x 10'",12 Carp,1.5,10.667,Eo.,600,nan,nan,600,895
13 05 05.10,"Selective Demolition, Air Supported Structures",720,15' x 15',nan,0.8,20.0,nan,"1,125",nan,nan,"1,125","1,675"
13 05 05.10,"Selective Demolition, Air Supported Structures",750,"Revolving personnel door, 6' diam. x 6'-6"" high",nan,1.5,10.667,nan,600,nan,nan,600,895
13 05 05.20,"Selective Demolition, Garden Houses",10,"SELECTIVE DEMOLITION, GARDEN HOUSES",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.20,"Selective Demolition, Garden Houses",20,"Prefab, wood, excl. foundation, average",2 Clab,400.0,0.04,SF Flr.,1.82,nan,nan,1.82,2.72
13 05 05.25,"Selective Demolition, Geodesic Domes",10,"SELECTIVE DEMOLITION, GEODESIC DOMES",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.25,"Selective Demolition, Geodesic Domes",50,"Shell only, interlocking plywood panels, 30' diameter",F 5,3.2,10.0,Ea.,570,nan,nan,570,845
13 05 05.25,"Selective Demolition, Geodesic Domes",60,34' diameter,nan,2.3,13.913,nan,790,nan,nan,790,"1,175"
13 05 05.25,"Selective Demolition, Geodesic Domes",70,39' diameter,nan,2.0,16.0,nan,910,nan,nan,910,"1,350"
13 05 05.25,"Selective Demolition, Geodesic Domes",80,45' diameter,F 3,2.2,18.182,nan,"1,050",900,nan,"1,950","2,550"
13 05 05.25,"Selective Demolition, Geodesic Domes",90,55' diameter,nan,2.0,222.0,nan,"1,150",990,nan,"2,140","2,825"
13 05 05.25,"Selective Demolition, Geodesic Domes",100,60' diameter,nan,2.0,nan,nan,"1,150",990,nan,"2,140","2,825"
13 05 05.25,"Selective Demolition, Geodesic Domes",110,65' diameter,nan,1.6,nan,nan,"1,450","1,250",nan,"2,700","3,525"
13 05 05.30,"Selective Demolition, Greenhouses",10,"SELECTIVE DEMOLITION, GREENHOUSES",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.30,"Selective Demolition, Greenhouses",20,"Resi-type, free standing, excl. foundations, 9' long x 8' wide",2 Clab,160.0,0.1,SF Flr.,4.56,nan,nan,4.56,666.80
13 05 05.30,"Selective Demolition, Greenhouses",30,9' long x 11' wide,nan,170.0,0.094,nan,4.29,nan,nan,4.29,6.40
13 05 05.30,"Selective Demolition, Greenhouses",40,9' long x 14' wide,nan,220.0,0.073,nan,3.32,nan,nan,3.32,4.94
13 05 05.30,"Selective Demolition, Greenhouses",50,9' long x 17' wide,nan,320.0,0.05,nan,2.28,nan,nan,2.28,3.40
13 05 05.30,"Selective Demolition, Greenhouses",60,"Lean-to type, 4' wide",nan,64.0,250.0,nan,,11.40,nan,nan,11.40
13 05 05.30,"Selective Demolition, Greenhouses",70,7' wide,nan,120.0,0.133,↓,6.10,nan,nan,6.10,9.05
13 05 05.30,"Selective Demolition, Greenhouses",80,"Geodesic hemisphere, 1/8"" plexiglass glazing, 8' diam.",nan,4.0,4.0,Ea.,182,nan,nan,182,272
13 05 05.30,"Selective Demolition, Greenhouses",90,24' diam.,nan,0.8,20.0,nan,910,nan,nan,910,"1,350"
13 05 05.30,"Selective Demolition, Greenhouses",100,48' diam.,nan,0.4,40.0,nan,"1,825",nan,nan,"1,825","2,725"
13 05 05.35,"Selective Demolition, Hangars",10,"SELECTIVE DEMOLITION, HANGARS",nan,nan,nan,nan,nan,nan,nan,nan,34
13 05 05.35,"Selective Demolition, Hangars",20,"T type hangars, prefab, steel, galv roof & walls, incl doors, excl fndin",E-2,2550.0,0.022,SF Flr.,1.34,.97,nan,2.31,3.12
13 05 05.35,"Selective Demolition, Hangars",30,"Circular type, prefab, steel frame, plastic skin, incl foundation, 80' diam",nan,0.5,112.0,Total,"6,850","4,950",nan,"11,800","16,000"
13 05 05.45,"Selective Demolition, Lightning Protection",10,"SELECTIVE DEMOLITION, LIGHTNING PROTECTION",nan,nan,nan,nan,,nan,nan,nan,nan
13 05 05.45,"Selective Demolition, Lightning Protection",20,"Air terminal & base, copper, 3/8"" diam. x 10"", to 75' H",1 Clab,16.0,0.5,Ea.,23,nan,nan,2322.0,3343.0
13 05 05.45,"Selective Demolition, Lightning Protection",30,"1/2"" diam. x 12"", over 75' H",nan,16.0,0.5,nan,23,nan,nan,23.0,34.0
13 05 05.45,"Selective Demolition, Lightning Protection",50,"Aluminum, 1/2"" diam. x 12"", to 75' H",nan,16.0,0.5,nan,23,nan,nan,23.0,34.0
13 05 05.45,"Selective Demolition, Lightning Protection",60,"5/8"" diam. x 12"", over 75' H",nan,16.0,0.5,nan,23,nan,nan,23.0,34.0
13 05 05.45,"Selective Demolition, Lightning Protection",70,"Cable, copper, 220 lb. per thousand feet, to 75' H",nan,640.0,0.013,LF.,:57,nan,nan,0.57,85.0
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,20,"Heater, timer & head, single, to 140 C.F.",1 Plum,1.2,6.667,Ea.,"2,300",465,nan,"2,765","3,225"
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,500,To 300 C.F.,nan,1.1,7.273,nan,"2,600",510,nan,"3,110","3,600"
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,1000,"Commercial size, with blow-down assembly, to 800 C.F.",nan,0.9,8.889,nan,"6,550",620,nan,"7,170","8,125"
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,1500,"To 2,500 C.F.",nan,0.8,10.0,nan,"7,750",700,nan,"8,450","9,575"
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,2000,"Multiple, motels, apts., 2 baths, w/ blow-down assm., 500 C.F.",Q-1,1.3,12.308,nan,"7,225",775,nan,"8,000","9,100"
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,2500,4 baths,"""",0.7,22.857,nan,"10,900","1,425",nan,"12,325","14,200"
13 24 26.50,0010 STEAM BATHS AND COMPONENTS,2700,"Conversion unit for residential tub, including door",nan,nan,nan,nan,"4,425",nan,nan,"4,425","4,875"
13 28 33.50,0010 SPORT COURT,20,"Sport court floors, no. 2 & better maple, 25/32"" thick, see 09 64 66.10",nan,nan,nan,SF Flr.,,nan,nan,nan,nan
13 28 33.50,0010 SPORT COURT,300,"Squash, regulation court in existing building, minimum",nan,nan,nan,Court,"45,200",nan,nan,"45,200","49,700"
13 28 33.50,0010 SPORT COURT,400,Maximum,nan,nan,nan,nan,"50,500",nan,nan,"50,500","55,500"
