Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
nan,"2 stop, hand powered, up to 75 lb. capacity",10,MANUAL DUMBWAITERS,nan,nan,nan,nan,,nan,nan,nan,nan
nan,"2 stop, hand powered, up to 75 lb. capacity",20,"2 stop, hand powered, up to 75 lb. capacity",2 Elev,0.75,21.333,Ea.,"3,200","2,000",nan,"5,200","6,475"
nan,"2 stop, hand powered, up to 75 lb. capacity",100,76 lb. capacity and up,nan,0.5,32.0,nan,"6,275","3,000",nan,"9,275","11,300"
nan,"2 stop, hand powered, up to 75 lb. capacity",300,"For each additional stop, add",nan,0.75,21.333,Stop,"1,025","2,000",nan,"3,025","4,075"
nan,Electric Dumbwaiters,10,ELECTRIC DUMBWAITERS,nan,nan,nan,nan,,nan,nan,nan,nan
nan,Electric Dumbwaiters,20,"2 stop, up to 75 lb. capacity",2 Elev,0.13,123.0,Ea.,"4,225","11,500",nan,"15,725","21,700"
nan,Electric Dumbwaiters,100,76 lb. capacity and up,nan,0.11,145.0,nan,"10,600","13,600",nan,"24,200","31,800"
nan,Electric Dumbwaiters,600,"For each additional stop, add",nan,0.54,29.63,Stop,555,"2,775",nan,"3,330","4,700"
nan,Electric Traction Freight Elevators,10,ELECTRIC TRACTION FREIGHT ELEVATORS AND OPTIONS R142000-10,nan,nan,nan,nan,,nan,nan,nan,nan
nan,Electric Traction Freight Elevators,425,"Electric freight, base unit, 4000 lb., 200 fpm, 4 stop, std. fin. R142000-20",2 Elev,0.05,320.0,Ea.,"130,000","29,900",nan,"159,900","187,500"
nan,Electric Traction Freight Elevators,450,"For 5000 lb. capacity, add R142000-30",nan,nan,nan,nan,"7,400",nan,nan,"7,400","8,125"
nan,Electric Traction Freight Elevators,500,"For 6000 lb. capacity, add R142000-40",nan,nan,nan,nan,"17,300",nan,nan,"17,300","19,100"
nan,Electric Traction Freight Elevators,525,"For 7000 lb. capacity, add",nan,nan,nan,nan,"23,700",nan,nan,"23,700","26,100"
nan,Electric Traction Freight Elevators,550,"For 8000 lb. capacity, add",nan,nan,nan,nan,"27,700",nan,nan,"27,700","30,500"
nan,Electric Traction Freight Elevators,575,"For 10000 lb. capacity, add",nan,nan,nan,nan,"38,600",nan,nan,"38,600","42,500"
nan,Electric Traction Freight Elevators,600,"For 12000 lb. capacity, add",nan,nan,nan,nan,"46,700",nan,nan,"46,700","51,500"
nan,Electric Traction Freight Elevators,625,"For 16000 lb. capacity, add",nan,nan,nan,nan,"57,000",nan,nan,"57,000","62,500"
nan,Electric Traction Freight Elevators,650,"For 20000 lb. capacity, add",nan,nan,nan,nan,"66,000",nan,nan,"66,000","72,500"
nan,Electric Traction Freight Elevators,675,"For increased speed, 250 fpm, add",nan,nan,nan,nan,"17,200",nan,nan,"17,200","18,900"
nan,Electric Traction Freight Elevators,700,"300 fpm, geared electric, add",nan,nan,nan,nan,"21,500",nan,nan,"21,500","23,700"
nan,Electric Traction Freight Elevators,725,"350 fpm, geared electric, add",nan,nan,nan,nan,"26,300",nan,nan,"26,300","28,900"
nan,Electric Traction Freight Elevators,750,"400 fpm, geared electric, add",nan,nan,nan,nan,"30,800",nan,nan,"30,800","33,900"
nan,Electric Traction Freight Elevators,775,"500 fpm, gearless electric, add",nan,nan,nan,nan,"42,900",nan,nan,"42,900","47,200"
nan,Electric Traction Freight Elevators,800,"600 fpm, gearless electric, add",nan,nan,nan,nan,"47,600",nan,nan,"47,600","52,500"
nan,Electric Traction Freight Elevators,825,"700 fpm, gearless electric, add",nan,nan,nan,nan,"56,500",nan,nan,"56,500","62,000"
nan,Electric Traction Freight Elevators,850,"800 fpm, gearless electric, add",nan,nan,nan,nan,"62,500",nan,nan,"62,500","69,000"
nan,Electric Traction Freight Elevators,875,"For class ""B"" loading, add",nan,nan,nan,nan,"3,500",nan,nan,"3,500","3,850"
nan,Electric Traction Freight Elevators,900,"For class ""C-1"" loading, add",nan,nan,nan,nan,"8,600",nan,nan,"8,600","9,450"
nan,Electric Traction Freight Elevators,925,"For class ""C 2"" loading, add",nan,nan,nan,nan,"10,100",nan,nan,"10,100","11,100"
nan,Electric Traction Freight Elevators,950,"For class ""C 3"" loading, add",nan,nan,nan,nan,"14,100",nan,nan,"14,100","15,600"
nan,Electric Traction Freight Elevators,975,"For travel over 40 V.L.F., add",12 Elev,7.25,2.207,V.LF.,720,206,nan,926,"1,100"
nan,Electric Traction Freight Elevators,1000,"For number of stops over 4, add",nan,0.27,59.259,Stop,"5,450","5,550",nan,"11,000","14,200"
nan,Electric Traction Passenger Elevators,10,ELECTRIC TRACTION PASSENGER ELEVATORS AND OPTIONS R142000-10,nan,nan,nan,nan,,nan,nan,nan,nan
nan,Electric Traction Passenger Elevators,1625,"Electric pass., base unit, 2,000 lb., 200 fpm, 4 stop, std. fin. R142000-20",2 Elev,0.05,320.0,Ea.,"109,500","29,900",nan,"139,400","165,000"
nan,Electric Traction Passenger Elevators,1650,"For 2,500 lb. capacity, add R142000-30",nan,nan,nan,nan,"4,675",nan,nan,"4,675","5,150"
nan,Electric Traction Passenger Elevators,1675,"For 3,000 lb. capacity, add R142000-40",nan,nan,nan,nan,"5,125",nan,nan,"5,125","5,650"
nan,Electric Traction Passenger Elevators,1700,"For 3,500 lb. capacity, add",nan,nan,nan,nan,"6,525",nan,nan,"6,525","7,175"
