Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
22 05 23.20,"Valves, Bronze",4850,"Globe, class 150, rising stem, threaded",nan,nan,nan,nan,,nan,nan,nan,nan
22 05 23.20,"Valves, Bronze",4920,"1/4""",1 Plum,24.0,0.333,Ea.,144,23.50,nan,167.50,194
22 05 23.20,"Valves, Bronze",4940,"3/8""",nan,24.0,0.333,nan,142,23.50,nan,165.50,191
22 05 23.20,"Valves, Bronze",4950,"1/2""",nan,24.0,0.333,nan,142,23.50,nan,165.50,191
22 05 23.20,"Valves, Bronze",4960,"3/4""",nan,20.0,0.4,nan,190,28,nan,218,250
22 05 23.20,"Valves, Bronze",4970,"1""",nan,19.0,0.421,nan,298,29.50,nan,327.50,375
22 05 23.20,"Valves, Bronze",4980,"1-1/4""",nan,15.0,0.533,nan,400,37,nan,437,495
22 05 23.20,"Valves, Bronze",4990,"1-1/2""",nan,13.0,0.615,nan,575,43,nan,618,695
22 05 23.20,"Valves, Bronze",5000,"2""",nan,11.0,0.727,nan,865,51,nan,916,"1,025"
22 05 23.20,"Valves, Bronze",5010,"2-1/2""",Q -1,15.0,1.067,nan,"1,725",67,nan,"1,792","2,000"
22 05 23.20,"Valves, Bronze",5020,"3""","""",13.0,1.231,nan,"2,475",77.50,nan,"2,552.50","2,850"
22 05 23.20,"Valves, Bronze",5120,"For 300 lb. threaded, add",nan,nan,nan,nan,,50%,15%,nan,nan
22 05 23.20,"Valves, Bronze",5600,"Relief, pressure & temperature, self-closing, ASME, threaded",nan,nan,nan,nan,,nan,nan,nan,nan
22 05 23.20,"Valves, Bronze",5640,"3/4""",1 Plum,28.0,0.286,Ea.,280,19.95,nan,299.95,340
22 05 23.20,"Valves, Bronze",5650,"1""",nan,24.0,0.333,nan,450,23.50,nan,473.50,530
22 05 23.20,"Valves, Bronze",5660,"1-1/4""",nan,20.0,0.4,nan,900,28,nan,928,"1,025"
22 05 23.20,"Valves, Bronze",5670,"1-1/2""",nan,18.0,0.444,nan,"1,725",31,nan,"1,756","1,950"
22 05 23.20,"Valves, Bronze",5680,"2""",nan,16.0,0.5,nan,"1,875",35,nan,"1,910","2,125"
22 05 23.20,"Valves, Bronze",5950,"Pressure, poppet type, threaded",nan,nan,nan,nan,,nan,nan,nan,nan
22 05 23.20,"Valves, Bronze",6000,"1/2""",1 Plum,20.0,0.267,Ea.,100,18.60,nan,118.60,138
22 05 23.20,"Valves, Bronze",6040,"3/4""","""1",28.0,0.286,"""",111,19.95,nan,130.95,152
22 05 23.20,"Valves, Bronze",6400,"Pressure, water, ASME, threaded",nan,nan,nan,nan,,nan,nan,nan,nan
