Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
23 21 20.88,Venturi Flow,280,"6"" diameter",Q-6,3.5,6.857,Ea.,"1,200",450.0,nan,"1,650","2,000"
23 21 20.88,Venturi Flow,500,"For meter, add",nan,nan,nan,nan,"2,500",nan,nan,"2,500","2,725"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,10,IN-LINE CENTRIFUGAL HYDRONIC PUMPS,nan,nan,nan,nan,,nan,nan,nan,nan
23 21 23.13,In-Line Centrifugal Hydronic Pumps,600,"Bronze, sweat connections, 1/40 HP, in line",nan,nan,nan,nan,,27,nan,nan,nan
23 21 23.13,In-Line Centrifugal Hydronic Pumps,640,"3/4"" size",-1,16.0,1.0,Ea.,257,63.0,nan,320,375
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1000,"Flange connection, 3/4"" to 1-1/2"" size",nan,nan,nan,nan,,nan,nan,nan,nan
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1040,1/12 HP,Q-1,6.0,2.667,Ea.,685,168.0,nan,853,"1,000"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1060,1/8 HP,nan,6.0,2.667,nan,"1,250",168.0,nan,"1,418","1,625"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1100,1/3 HP,nan,6.0,2.667,nan,"1,400",168.0,nan,"1,568","1,800"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1140,"2"" size, 1/6 HP",nan,5.0,3.2,nan,"1,800",201.0,nan,"2,001","2,275"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1180,"2-1/2"" size, 1/4 HP",nan,5.0,3.2,nan,"2,425",201.0,nan,"2,626","2,950"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2000,"Cast iron, flange connection",nan,nan,nan,nan,,nan,nan,nan,nan
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2040,"3/4"" to 1-1/2"" size, in line, 1/12 HP",Q-1,6.0,2.667,Ea.,430,168.0,nan,598,725
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2100,1/3 HP,nan,6.0,2.667,nan,880,168.0,nan,"1,048","1,225"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2101,"Pumps, circulating, 3/4"" to 1-1/2"" size, 1/3 HP",nan,6.0,2.667,1,"1,050",168.0,nan,"1,218","1,400"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2140,"2"" size, 1/6 HP",nan,5.0,3.2,nan,nan,201.0,nan,"1,151","1,350"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2180,"2-1/2"" size, 1/4 HP",nan,5.0,3.2,nan,"1,425",201.0,nan,"1,626","1,875"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2220,"3"" size, 1/4 HP",nan,4.0,4.0,nan,"1,125",251.0,nan,"1,376","1,600"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2600,"For nonferrous impeller, add",nan,nan,nan,nan,,3%,nan,nan,nan
23 21 29.10,Condensate Removal Pump System,10,CONDENSATE REMOVAL PUMP SYSTEM,nan,nan,nan,nan,,nan,nan,nan,nan
23 21 29.10,Condensate Removal Pump System,20,Pump with 1 gal. ABS tank,nan,nan,nan,nan,,nan,nan,nan,nan
23 21 29.10,Condensate Removal Pump System,100,115 V,nan,nan,nan,nan,,nan,nan,nan,nan
23 21 29.10,Condensate Removal Pump System,120,"1/50 HP, 200 GPH",G1,Stpi 12,0.667,Ea.,196.0,47.0,nan,243.0,285.0
23 21 29.10,Condensate Removal Pump System,140,"1/18 HP, 270 GPH",G,10,0.8,nan,195.0,56.5,nan,251.5,299.0
23 21 29.10,Condensate Removal Pump System,160,"1/5 HP, 450 GPH",G,8,nan,nan,455.0,70.5,nan,525.5,605.0
23 21 29.10,Condensate Removal Pump System,200,230 V,nan,nan,nan,nan,,nan,nan,nan,nan
23 21 29.10,Condensate Removal Pump System,240,"1/18 HP, 270 GPH",1 Stpi,10,0.8,Ea.,217.0,56.5,nan,273.5,320.0
23 21 29.10,Condensate Removal Pump System,260,"1/5 HP, 450 GPH",G,8,1.0,nan,525.0,70.5,nan,595.5,680.0
23 22 13.23,Aboveground Steam and Condensate Piping,10,ABOVEGROUND STEAM AND CONDENSATE HEATING PIPING,nan,nan,nan,nan,,nan,nan,nan,nan
23 22 13.23,Aboveground Steam and Condensate Piping,20,Condensate meter,nan,nan,nan,nan,,nan,nan,nan,nan
23 22 13.23,Aboveground Steam and Condensate Piping,100,500 lb. per hour,1 Stpi,14.0,0.571,Ea.,"4,200",40.0,nan,"4,240","4,650"
23 22 13.23,Aboveground Steam and Condensate Piping,140,1500 lb. per hour,nan,7.0,1.143,17,"4,900",80.5,nan,"4,980.50","5,500"
23 22 23.10,Condensate Return System,10,CONDENSATE RETURN SYSTEM,nan,nan,nan,nan,,nan,nan,nan,nan
23 22 23.10,Condensate Return System,2000,Simplex,nan,nan,nan,nan,,nan,nan,nan,nan
23 22 23.10,Condensate Return System,2010,"With pump, motor, Cl receiver, float switch",nan,nan,nan,nan,,nan,50.0,nan,nan
23 22 23.10,Condensate Return System,2020,"3/4 HP, 15 GPM",Q-1,1.8,8.889,Ea.,"2,625",560.0,nan,"3,185","3,700"
23 22 23.10,Condensate Return System,2100,Duplex,nan,nan,nan,nan,,nan,nan,nan,nan
23 22 23.10,Condensate Return System,2110,"With 2 pumps and motors, Cl receiver, float switch, alternator",nan,nan,nan,nan,,nan,nan,nan,nan
23 22 23.10,Condensate Return System,2120,"3/4 HP, 15 GPM, 15 gal. Cl receiver",Q-1,1.4,11.429,Ea.,"6,425",720.0,nan,"7,145","8,150"
