Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
22 05 23.20,"Valves, Bronze",4850,"Globe, class 150, rising stem, threaded",,,,,,,,,
22 05 23.20,"Valves, Bronze",4920,"1/4""",1 Plum,24.0,0.333,Ea.,144,23.50,,167.50,194
22 05 23.20,"Valves, Bronze",4940,"3/8""",,24.0,0.333,,142,23.50,,165.50,191
22 05 23.20,"Valves, Bronze",4950,"1/2""",,24.0,0.333,,142,23.50,,165.50,191
22 05 23.20,"Valves, Bronze",4960,"3/4""",,20.0,0.4,,190,28,,218,250
22 05 23.20,"Valves, Bronze",4970,"1""",,19.0,0.421,,298,29.50,,327.50,375
22 05 23.20,"Valves, Bronze",4980,"1-1/4""",,15.0,0.533,,400,37,,437,495
22 05 23.20,"Valves, Bronze",4990,"1-1/2""",,13.0,0.615,,575,43,,618,695
22 05 23.20,"Valves, Bronze",5000,"2""",,11.0,0.727,,865,51,,916,"1,025"
22 05 23.20,"Valves, Bronze",5010,"2-1/2""",Q -1,15.0,1.067,,"1,725",67,,"1,792","2,000"
22 05 23.20,"Valves, Bronze",5020,"3""","""",13.0,1.231,,"2,475",77.50,,"2,552.50","2,850"
22 05 23.20,"Valves, Bronze",5120,"For 300 lb. threaded, add",,,,,,50%,15%,,
22 05 23.20,"Valves, Bronze",5600,"Relief, pressure & temperature, self-closing, ASME, threaded",,,,,,,,,
22 05 23.20,"Valves, Bronze",5640,"3/4""",1 Plum,28.0,0.286,Ea.,280,19.95,,299.95,340
22 05 23.20,"Valves, Bronze",5650,"1""",,24.0,0.333,,450,23.50,,473.50,530
22 05 23.20,"Valves, Bronze",5660,"1-1/4""",,20.0,0.4,,900,28,,928,"1,025"
22 05 23.20,"Valves, Bronze",5670,"1-1/2""",,18.0,0.444,,"1,725",31,,"1,756","1,950"
22 05 23.20,"Valves, Bronze",5680,"2""",,16.0,0.5,,"1,875",35,,"1,910","2,125"
22 05 23.20,"Valves, Bronze",5950,"Pressure, poppet type, threaded",,,,,,,,,
22 05 23.20,"Valves, Bronze",6000,"1/2""",1 Plum,20.0,0.267,Ea.,100,18.60,,118.60,138
22 05 23.20,"Valves, Bronze",6040,"3/4""","""1",28.0,0.286,"""",111,19.95,,130.95,152
22 05 23.20,"Valves, Bronze",6400,"Pressure, water, ASME, threaded",,,,,,,,,
22 05 23.20,"Valves, Bronze",6440,"3/4""",1 Plum,28.0,0.286,Ea.,59.50,19.95,,79.45,95
22 05 23.20,"Valves, Bronze",6450,"ן""",,24.0,0.333,,375,23.50,,398.50,445
22 05 23.20,"Valves, Bronze",6460,"1-1/4""",,20.0,0.4,,490,28,,518,580
22 05 23.20,"Valves, Bronze",6470,"1-1/2""",,18.0,0.444,,820,31,,851,950
22 05 23.20,"Valves, Bronze",6480,"2""",,16.0,0.5,,"1,175",35,,"1,210","1,350"
22 05 23.20,"Valves, Bronze",6490,"2-1/2""",,15.0,0.533,,"4,650",37,,"4,687","5,175"
22 05 23.20,"Valves, Bronze",6900,"Reducing, water pressure",,,,,,,,,
22 05 23.20,"Valves, Bronze",6920,"300 psi to 25-75 psi, threaded or sweat",,,,,,,,,
22 05 23.20,"Valves, Bronze",6940,"1/2""",1 Plum,24.0,0.333,Ea.,585,23.50,,608.50,680
