Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
nan,100,26,01 02 - Labor Adjustment,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,26,01 02.20 Labor Adjustment Factors,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,10,"LABOR ADJUSTMENT FACTORS (For Div. 26, 27 and 28) R260519-90",nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,100,Subtract from labor for Economy of Scale for Wire,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,110,4-5 wires,nan,nan,nan,nan,,nan,25%,nan,nan
nan,100,120,6-10 wires,nan,nan,nan,nan,,nan,30%,nan,nan
nan,100,130,11-15 wires,nan,nan,nan,nan,,nan,35%,nan,nan
nan,100,140,over 15 wires,nan,nan,nan,nan,,nan,40%,nan,nan
nan,100,150,"Labor adjustment factors (For Div. 26, 27, 28 and 48)",nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,200,"Labor factors: The below are reasonable suggestions, but",nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,210,"each project must be evaluated for its own peculiarities, and",nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,220,the adjustments be increased or decreased depending on the,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,230,severity of the special conditions.,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,1000,Add to labor for elevated installation (above floor level),nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,1010,10' to 14.5' high,nan,nan,nan,nan,,nan,10%,nan,nan
nan,100,1020,15' to 19.5' high,nan,nan,nan,nan,,nan,20%,nan,nan
nan,100,1030,20' to 24.5' high,nan,nan,nan,nan,,nan,25%,nan,nan
nan,100,1040,25' to 29.5' high,nan,nan,nan,nan,,nan,35%,nan,nan
nan,100,1050,30' to 34.5' high,nan,nan,nan,nan,,nan,40%,nan,nan
nan,100,1060,35' to 39.5' high,nan,nan,nan,nan,,nan,50%,nan,nan
nan,100,1070,40' and higher,nan,nan,nan,nan,,nan,55%,nan,nan
nan,100,2000,Add to labor for crawl space,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,2010,3' high,nan,nan,nan,nan,,nan,40%,nan,nan
nan,100,2020,4' high,nan,nan,nan,nan,,nan,30%,nan,nan
nan,100,3000,Add to labor for multi story building,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,3100,For new construction (No elevator available),nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,3110,Add for floors 3 thru 10,nan,nan,nan,nan,,nan,5%,nan,nan
nan,100,3120,Add for floors 11 thru 15,nan,nan,nan,nan,,nan,10%,nan,nan
nan,100,3130,Add for floors 16 thru 20,nan,nan,nan,nan,,nan,15%,nan,nan
nan,100,3140,Add for floors 21 thru 30,nan,nan,nan,nan,,nan,20%,nan,nan
nan,100,3150,Add for floors 31 and up,nan,nan,nan,nan,,nan,30%,nan,nan
nan,100,3200,For existing structure (Elevator available),nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,3210,Add for work on floor 3 and above,nan,nan,nan,nan,,nan,2%,nan,nan
nan,100,4000,Add to labor for working in existing occupied buildings,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,4010,Hospital,nan,nan,nan,nan,,nan,35%,nan,nan
nan,100,4020,Office building,nan,nan,nan,nan,,nan,25%,nan,nan
nan,100,4030,School,nan,nan,nan,nan,,nan,20%,nan,nan
nan,100,4040,Factory or warehouse,nan,nan,nan,nan,,nan,15%,nan,nan
nan,100,4050,Multi dwelling,nan,nan,nan,nan,,nan,15%,nan,nan
nan,100,5000,"Add to labor, miscellaneous",nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,5010,Cramped shaft,nan,nan,nan,nan,,nan,35%,nan,nan
nan,100,5020,Congested area,nan,nan,nan,nan,,nan,15%,nan,nan
nan,100,5030,Excessive heat or cold,nan,nan,nan,nan,,nan,30%,nan,nan
nan,100,6000,"Labor factors: the above are reasonable suggestions, but",nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,6100,each project should be evaluated for its own peculiarities,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,6200,Other factors to be considered are:,nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,6210,Movement of material and equipment through finished areas,nan,nan,nan,nan,,nan,10%,nan,nan
nan,100,6220,Equipment room min security direct access w / authorization,nan,nan,nan,nan,,nan,15%,nan,nan
nan,100,6230,Attic space,nan,nan,nan,nan,,nan,25%,nan,nan
nan,100,6240,No service road,nan,nan,nan,nan,,nan,25%,nan,nan
nan,100,6250,"Poor unloading /storage area, no hydraulic lifts or jacks",nan,nan,nan,nan,,nan,20%,nan,nan
nan,100,6260,Congested site area /heavy traffic,nan,nan,nan,nan,,nan,20%,nan,nan
nan,100,7000,Correctional facilities (no compounding division 1 adjustment factors),nan,nan,nan,nan,,nan,nan,nan,nan
nan,100,7010,Minimum security w / facilities escort,nan,nan,nan,nan,,nan,30%,nan,nan
nan,100,7020,Medium security w / facilities and correctional officer escort,nan,nan,nan,nan,,nan,40%,nan,nan
nan,26 01 02 - Labor and Adjustment Maintenance,7030,Max security w/facilities & correctional officer escort (no inmate contact),nan,nan,nan,nan,,nan,nan,nan,50%
nan,26 01 02 - Labor and Adjustment Maintenance,10,ELECTRICAL DEMOLITION,nan,nan,nan,nan,,nan,nan,nan,nan
nan,26 01 02 - Labor and Adjustment Maintenance,20,"Electrical demolition, conduit to 10' high, inc. fittings & hangers",nan,nan,nan,nan,,nan,nan,nan,nan
nan,26 01 02 - Labor and Adjustment Maintenance,100,"Rigid galvanized steel, 1/2"" to 1"" diameter",1 Elec,242.0,0.033,LF,nan,2.19,nan,2.19,3.25
nan,26 01 02 - Labor and Adjustment Maintenance,120,"1-1/4"" to 2""",nan,200.0,0.04,nan,nan,2.65,nan,2.65,3.94
nan,26 01 02 - Labor and Adjustment Maintenance,140,"2-1/2"" to 3-1/2""",12 Elec,302.0,0.053,nan,nan,3.51,nan,3.51,5.2
nan,26 01 02 - Labor and Adjustment Maintenance,160,"4"" to 6""",nan,160.0,0.1,nan,nan,6.6,nan,6.60,9.85
nan,26 01 02 - Labor and Adjustment Maintenance,200,"Electric metallic tubing (EMT), 1/2"" to 1""",1 Elec,394.0,0.02,nan,nan,1.34,nan,1.34,2.0
nan,26 01 02 - Labor and Adjustment Maintenance,220,"1-1/4"" to 1-1/2""",nan,326.0,0.025,nan,nan,1.62,nan,1.62,2.41
nan,26 01 02 - Labor and Adjustment Maintenance,240,"2"" to 3""",nan,236.0,0.034,nan,nan,2.24,nan,2.24,3.34
nan,26 01 02 - Labor and Adjustment Maintenance,260,"3-1/2"" to 4""",2 Elec,310.0,0.052,+,nan,3.42,nan,3.42,5.1
nan,26 01 02 - Labor and Adjustment Maintenance,270,Armored cable (BX) avg. 50' runs,nan,nan,nan,nan,,nan,nan,nan,nan
nan,26 01 02 - Labor and Adjustment Maintenance,280,"#14, 2 wire",1 Elec,690.0,0.012,LF,nan,0.77,nan,.77,1.14
nan,26 01 02 - Labor and Adjustment Maintenance,290,"#14, 3 wire",nan,571.0,0.014,nan,nan,0.93,nan,.93,1.38
nan,26 01 02 - Labor and Adjustment Maintenance,300,"#12, 2 wire",nan,605.0,0.013,nan,nan,0.88,nan,.88,1.3
nan,26 01 02 - Labor and Adjustment Maintenance,310,"#12, 3 wire",nan,514.016,nan,nan,nan,1.03,nan,1.03,1.53
nan,26 01 02 - Labor and Adjustment Maintenance,320,"#10, 2 wire",nan,514.0,0.016,nan,nan,1.03,nan,1.03,1.53
nan,26 01 02 - Labor and Adjustment Maintenance,330,"#10, 3 wire",nan,425.0,0.019,nan,nan,1.25,nan,1.25,1.85
nan,26 01 02 - Labor and Adjustment Maintenance,340,"#8, 3 wire",nan,342.0,0.023,nan,nan,1.55,nan,1.55,2.3
nan,26 01 02 - Labor and Adjustment Maintenance,350,Non metallic sheathed cable (Romex),nan,nan,nan,nan,,nan,nan,nan,nan
nan,26 01 02 - Labor and Adjustment Maintenance,360,"#14, 2 wire",1 Elec,720.0,0.011,LF,,nan,0.74,188.0,1.09
nan,26 01 02 - Labor and Adjustment Maintenance,370,"#14, 3 wire",nan,657.0,0.012,nan,nan,0.81,nan,.81,1.2
nan,26 01 02 - Labor and Adjustment Maintenance,380,"#12, 2 wire",nan,629.0,0.013,nan,nan,0.84,nan,.84,1.25
nan,26 01 02 - Labor and Adjustment Maintenance,390,"#10, 3 wire",nan,1450.0,0.018,nan,nan,1.18,nan,1.18,1.75
