Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
27 52 23.10,NURSE CALL SYSTEMS,10,NURSE CALL SYSTEMS,nan,nan,nan,nan,,nan,nan,nan,nan
27 52 23.10,NURSE CALL SYSTEMS,100,Single bedside call station,1 Elec,8.0,1.0,Eg .,490,66,nan,556,635
27 52 23.10,NURSE CALL SYSTEMS,200,Ceiling speaker station,nan,8.0,nan,nan,137,66,nan,203,249
27 52 23.10,NURSE CALL SYSTEMS,400,Emergency call station,nan,8.0,1.0,nan,101,66,nan,167,210
27 52 23.10,NURSE CALL SYSTEMS,600,Pillow speaker,nan,8.0,1.0,nan,211,66,nan,277,330
27 52 23.10,NURSE CALL SYSTEMS,800,Double bedside call station,nan,42.0,nan,nan,240,132,nan,372,460
27 52 23.10,NURSE CALL SYSTEMS,1000,Duty station,nan,4.0,2.0,nan,415,132,nan,547,650
27 52 23.10,NURSE CALL SYSTEMS,1200,Standard call button,nan,8.0,1.0,nan,186,66,nan,252,305
27 52 23.10,NURSE CALL SYSTEMS,1400,"Lights, corridor, dome or zone indicator",nan,8.0,1.0,nan,92,66,nan,158,200
27 52 23.10,NURSE CALL SYSTEMS,1600,Master control station for 20 stations,2 Elec,0.65,24.615,Total,"3,025","1,625",nan,"4,650","5,750"
27 53 13.50,Clock Equipments,10,"CLOCK EQUIPMENTS, not including wires & conduits",nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,Clock Equipments,100,"Time system components, master controller",1 Elec,0.33,24.242,Ea .,"1,525","1,600",nan,"3,125","4,050"
27 53 13.50,Clock Equipments,200,Program bell,nan,8.0,1.0,nan,94,66,nan,160,203
27 53 13.50,Clock Equipments,400,Combination clock & speaker,nan,3.2,2.5,nan,201,166,nan,367,470
27 53 13.50,Clock Equipments,600,Frequency generator,nan,2.0,4.0,nan,"3,125",265,nan,"3,390","3,825"
27 53 13.50,Clock Equipments,800,Job time automatic stamp recorder,1 Elec,4.0,2.0,Ea .,555,132,nan,687,805
27 53 13.50,Clock Equipments,1600,"Master time clock system, clocks & bells, 20 room",4 Elec,0.2,160.0,nan,"6,275","10,600",nan,"16,875","22,600"
27 53 13.50,Clock Equipments,1800,50 room,nan,0.08,400.0,nan,"13,400","26,500",nan,"39,900","54,000"
27 53 13.50,Clock Equipments,1900,Time clock,1 Elec,3.2,2.5,nan,395,166,nan,561,680
27 53 13.50,Clock Equipments,2000,"100 cards in & out, 1 color",nan,nan,nan,nan,9.80,nan,nan,9.80,10.80
27 53 13.50,Clock Equipments,2200,2 colors,nan,nan,nan,nan,9.80,nan,nan,9.80,10.80
27 53 13.50,Clock Equipments,2800,Metal rack for 25 cards,1 Elec,7.0,1.143,nan,38,75.50,nan,113.50,154
27 53 13.50,Master Antenna Television Systems,27,41 33.10,TV Systems,1 Elec,4.0,2.0,Outlet,286,132,418,510
27 53 13.50,Master Antenna Television Systems,27,41 33.10,TV Systems,nan,5.3,1.509,nan,275,100,375,455
27 53 13.50,27 51 Distributed Audio-Video Communications Systems,27,51 16.10,Public Address System,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,27 51 Distributed Audio-Video Communications Systems,10,PUBLIC ADDRESS SYSTEM,nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,27 51 Distributed Audio-Video Communications Systems,100,"Conventional, office",1 Elec,5.33,1.501,Speaker,265.0,99.5,nan,364.5,440.0
27 53 13.50,27 51 Distributed Audio-Video Communications Systems,200,Industrial,nan,2.7,2.963,nan,239.0,196.0,nan,435.0,555.0
27 53 13.50,27 51 19 Sound Masking Systems,27,51 19.10 Sound System,nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,27 51 19 Sound Masking Systems,10,"SOUND SYSTEM, not including rough-in wires, cables & conduits",nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,27 51 19 Sound Masking Systems,100,"Components, projector outlet",1 Elec,848.0,121.0,Ea.,77.50,66.0,nan,143.50,184
27 53 13.50,27 51 19 Sound Masking Systems,200,Microphone,nan,nan,nan,nan,124,132.0,nan,256,335
27 53 13.50,27 51 19 Sound Masking Systems,400,"Speakers, ceiling or wall",nan,8.0,nan,nan,142,66.0,nan,208,255
27 53 13.50,27 51 19 Sound Masking Systems,600,Trumpets,nan,4.0,2.0,nan,299,132.0,nan,431,525
27 53 13.50,27 51 19 Sound Masking Systems,800,Privacy switch,nan,8.0,1.0,nan,54,66.0,nan,120,158
27 53 13.50,27 51 19 Sound Masking Systems,1000,Monitor panel,nan,nan,2.0,nan,"1,200",132.0,nan,"1,332","1,500"
27 53 13.50,27 51 19 Sound Masking Systems,1200,"Antenna, AM / FM",nan,nan,nan,nan,151,132.0,nan,283,365
27 53 13.50,27 51 19 Sound Masking Systems,1400,Volume control,nan,nan,1.0,nan,68,66.0,nan,134,173
27 53 13.50,27 51 19 Sound Masking Systems,1600,"Amplifier, 250 W",nan,nan,8.0,nan,"1,775",530.0,nan,"2,305","2,725"
27 53 13.50,27 51 19 Sound Masking Systems,1800,Cabinets,nan,nan,8.0,nan,"1,175",530.0,nan,"1,705","2,050"
27 53 13.50,27 51 19 Sound Masking Systems,2000,"Intercom, 30 station capacity, master station",2 Elec,2.0,8.0,nan,"1,775",530.0,nan,"2,305","2,725"
27 53 13.50,27 51 19 Sound Masking Systems,2200,Remote station,1 Elec,8.0,1.0,1,475,66.0,1.0,541,625
27 53 13.50,27 51 19 Sound Masking Systems,2400,Intercom outlets,nan,8.0,1.0,1,112,66.0,nan,178,222
27 53 13.50,27 51 19 Sound Masking Systems,2600,Handset,nan,nan,2.0,nan,174,132.0,nan,306,390
27 53 13.50,27 51 19 Sound Masking Systems,2800,"Emergency call system, 12 zones, annunciator",nan,1.3,6.154,nan,"1,300",405.0,nan,"1,705","2,050"
27 53 13.50,27 51 19 Sound Masking Systems,3000,Bell,nan,5.3,1.509,nan,94.50,100.0,nan,194.50,253
27 53 13.50,27 51 19 Sound Masking Systems,3200,Light or relay,nan,8.0,1.0,nan,67.50,66.0,nan,133.50,173
27 53 13.50,27 51 19 Sound Masking Systems,3400,Transformer,nan,4.0,2.0,nan,262,132.0,nan,394,485
27 53 13.50,27 51 19 Sound Masking Systems,3600,"House telephone, talking station",nan,1.6,5.0,1,560,330.0,nan,890,"1,100"
27 53 13.50,27 51 19 Sound Masking Systems,3800,"Press to talk, release to listen",nan,5.3,1.509,nan,237,100.0,nan,337,410
27 53 13.50,27 51 19 Sound Masking Systems,4000,System on button,nan,nan,nan,nan,78.50,nan,nan,78.50,86
27 53 13.50,27 51 19 Sound Masking Systems,4200,Door release,11 Elec,4.0,2.0,nan,140,132.0,nan,272,350
27 53 13.50,27 51 19 Sound Masking Systems,4400,Combination speaker and microphone,nan,8.0,1.0,nan,238,66.0,nan,304,360
27 53 13.50,27 51 19 Sound Masking Systems,4600,Termination box,nan,3.2,2.5,nan,75,166.0,nan,241,330
27 53 13.50,27 51 19 Sound Masking Systems,4800,Amplifier or power supply,nan,5.3,1.509,nan,860,100.0,nan,960,"1,100"
27 53 13.50,27 51 19 Sound Masking Systems,5000,Vestibule door unit,nan,16.0,0.5,Name,165,33.0,nan,198,231
27 53 13.50,27 51 19 Sound Masking Systems,5200,Strip cabinet,nan,27.0,0.296,Ea.,299,19.6,nan,318.60,360
27 53 13.50,27 51 19 Sound Masking Systems,5400,Directory,nan,16.0,1.5,nan,160,33.0,nan,193,225
27 53 13.50,Daily Labor,10,COMMUNICATIONS OPTICAL FIBER,nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,Daily Labor,40,Specialized tools & techniques cause installation costs to vary.,nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,Daily Labor,70,"Fiber optic, cable, bulk simplex, single mode",1 Elec,8.0,1.0,C.L.F.,22.50,66.0,nan,88.50,124
27 53 13.50,Daily Labor,80,Multi mode,nan,8.0,1.0,nan,29.50,66.0,nan,95.50,131
27 53 13.50,Daily Labor,90,"4 strand, single mode",nan,7.34,1.09,nan,38,72.0,nan,110,149
27 53 13.50,Daily Labor,95,Multi mode,nan,7.34,1.09,nan,50.50,72.0,nan,122.50,163
27 53 13.50,Daily Labor,100,"12 strand, single mode",nan,6.67,1.199,nan,72.50,79.5,nan,152,198
27 53 13.50,Daily Labor,105,Multi mode,nan,6.67,1.199,nan,96.50,79.5,nan,176,224
27 53 13.50,Daily Labor,150,Jumper,nan,nan,nan,Ea.,47,nan,nan,47,52
27 53 13.50,Daily Labor,200,Pigtail,nan,nan,nan,nan,34,nan,nan,34,37.50
27 53 13.50,Daily Labor,300,Connector,1 Elec,24.0,0.333,nan,28,22.0,nan,50,63.50
27 53 13.50,Daily Labor,350,Finger splice,nan,32.0,0.25,nan,41.50,16.55,nan,58.05,70
27 53 13.50,Daily Labor,400,Transceiver (low cost bi-directional),nan,8.0,1.0,nan,490,66.0,nan,556,635
27 53 13.50,Daily Labor,450,"Rack housing, 4 rack spaces, 12 panels (144 fibers)",nan,2.0,4.0,nan,"1,200",265.0,nan,"1,465","1,700"
27 53 13.50,Daily Labor,500,"Patch panel, 12 ports",nan,6.0,1.333,nan,350,88.5,nan,438.50,515
27 53 13.50,Daily Labor,600,"Cable connector panel, 6 fiber",nan,40.0,0.2,nan,61.50,13.25,nan,74.75,87
27 53 13.50,Daily Labor,1000,"Cable, 62.5 microns, direct burial, 4 fiber",R-15,1200.0,0.04,L.F.,.85,2.59,0.27,3.71,5.10
27 53 13.50,Daily Labor,1020,"Indoor, 2 fiber",R-19,1000.0,0.02,nan,.54,1.33,nan,1.87,2.56
27 53 13.50,Daily Labor,1040,"Outdoor, aerial/duct",nan,1670.0,0.012,nan,.71,0.79,nan,1.50,1.96
27 53 13.50,Daily Labor,1060,"50 microns, direct burial, 8 fiber",R-22,4000.0,0.009,nan,1.42,0.56,nan,1.98,2.40
27 53 13.50,Daily Labor,1080,12 fiber,nan,4000.0,0.009,nan,1.68,0.56,nan,2.24,2.69
27 53 13.50,Daily Labor,1100,"Indoor, 12 fiber",nan,759.0,0.049,nan,1.53,2.98,nan,4.51,6.10
27 53 13.50,Daily Labor,1120,"Connectors, 62.5 micron cable, transmission",-19,40.0,0.5,Ea.,16.45,33.0,nan,49.45,67.50
27 53 13.50,Daily Labor,1140,Cable splice,nan,40.0,0.5,nan,19.20,33.0,nan,52.20,70.50
27 53 13.50,Daily Labor,1160,"125 micron cable, transmission",nan,16.0,1.25,nan,17.30,83.0,nan,100.30,142
27 53 13.50,Daily Labor,1180,"Receiver, 1.2 mile range",nan,20.0,1.0,nan,375,66.5,nan,441.50,515
27 53 13.50,Daily Labor,1200,1.9 mile range,nan,20.0,1.0,nan,250,66.5,nan,316.50,375
27 53 13.50,Daily Labor,1220,6.2 mile range,nan,5.0,4.0,nan,415,265.0,nan,680,850
27 53 13.50,Daily Labor,1240,"Transmitter, 1.2 mile range",nan,20.0,1.0,nan,415,66.5,nan,481.50,560
27 53 13.50,Daily Labor,1260,1.9 mile range,nan,20.0,1.0,nan,315,66.5,nan,381.50,445
27 53 13.50,Daily Labor,1280,6.2 mile range,nan,0.5,4.0,nan,"1,300",265.0,nan,"1,565","1,825"
27 53 13.50,Daily Labor,1300,"Modem, 1.2 mile range",nan,5.0,4.0,nan,221,265.0,nan,486,640
27 53 13.50,Daily Labor,1320,6.2 mile range,R-19,5.0,4.0,Eo.,415,265.0,nan,680,855
27 53 13.50,Daily Labor,1340,"1.9 mile range, 12 channel",nan,5.0,4.0,nan,"2,325",265.0,nan,"2,590","2,950"
27 53 13.50,Daily Labor,1360,"Repeater, 1.2 mile range",nan,10.0,22.0,nan,375,133.0,nan,508,610
27 53 13.50,Daily Labor,1380,1.9 mile range,nan,10.0,nan,nan,550,133.0,nan,683,800
27 53 13.50,Daily Labor,1400,6.2 mile range,nan,5.0,4.0,nan,"1,000",265.0,nan,"1,265","1,500"
27 53 13.50,Daily Labor,1420,"1.2 mile range, digital",nan,5.0,4.0,nan,510,265.0,nan,775,955
27 53 13.50,TV Systems,10,"TV SYSTEMS, not including rough-in wires, cables & conduits",nan,nan,nan,nan,,nan,nan,nan,nan
27 53 13.50,TV Systems,100,Master TV antenna system,nan,nan,nan,nan,,nan,nan,nan,nan
