Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
28 15 11.11,Standard Readers,10,STANDARD CARD READERS,nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.11,Standard Readers,15,Card key access,nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.11,Standard Readers,20,"Computerized system, processor, proximity reader and cards",nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.11,Standard Readers,30,"Does not include door hardware, lockset or wiring",nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.11,Standard Readers,40,Card key system for 1 door,nan,nan,nan,Ea.,"1,675",nan,nan,"1,675","1,850"
28 15 11.11,Standard Readers,60,Card key system for 2 doors,nan,nan,nan,nan,"2,400",nan,nan,"2,400","2,650"
28 15 11.11,Standard Readers,80,Card key system for 4 doors,nan,nan,nan,nan,"2,625",nan,nan,"2,625","2,875"
28 15 11.11,Standard Readers,100,Processor for card key access system,nan,nan,nan,nan,"1,250",nan,nan,"1,250","1,375"
28 15 11.11,Standard Readers,160,"Magnetic lock for electric access, 600 pound holding force",nan,nan,nan,nan,192,nan,nan,192,211
28 15 11.11,Standard Readers,170,"Magnetic lock for electric access, 1200 pound holding force",nan,nan,nan,nan,192,nan,nan,192,211
28 15 11.11,Standard Readers,200,Proximity card reader,nan,nan,nan,nan,199,nan,nan,199,219
28 15 11.15,Biometric Identity Devices,10,BIOMETRIC IDENTITY DEVICES,nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.15,Biometric Identity Devices,220,"Hand geometry scanner, mem of 512 users, excl. striker/power",1 Elec,8888838.0,2.667,Ea.,"3,075",177.0,nan,"3,252","3,625"
28 15 11.15,Biometric Identity Devices,230,"Memory upgrade for, adds 9,700 user profiles",nan,nan,nan,1,550,266.0,nan,616,705
28 15 11.15,Biometric Identity Devices,240,"Adds 32,500 user profiles",nan,nan,nan,1,735,266.0,nan,801,905
28 15 11.15,Biometric Identity Devices,250,"Prison type, memory of 256 users, excl. striker/power",nan,nan,2.667,nan,"3,525",147.0,nan,"3,702","4,125"
28 15 11.15,Biometric Identity Devices,260,"Memory upgrade for, adds 3,300 user profiles",nan,nan,nan,nan,515,266.0,nan,581,670
28 15 11.15,Biometric Identity Devices,270,"Adds 9,700 user profiles",nan,nan,nan,nan,635,66.0,nan,701,800
28 15 11.15,Biometric Identity Devices,280,"Adds 27,900 user profiles",nan,nan,8.0,nan,970,66.0,nan,"1,036","1,175"
28 15 11.15,Biometric Identity Devices,290,"All weather, mem of 512 users, excl. striker/power",3,2.667,nan,nan,"5,575",177.0,nan,"5,752","6,375"
28 15 11.15,Biometric Identity Devices,300,"Facial & fingerprint scanner, combination unit, excl. striker/power",3,2.667,nan,nan,"1,175",177.0,nan,"1,352","1,550"
28 15 11.15,Biometric Identity Devices,310,"Access for, for initial setup, excl. striker/power",3,2.667,nan,nan,"1,750",177.0,nan,"1,927","2,175"
28 15 11.15,28 18 11 Security Access Metal Detectors,10,SECURITY ACCESS METAL DETECTORS,nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.15,28 18 11 Security Access Metal Detectors,240,"Metal detector, hand-held, wand type, unit only",nan,nan,nan,Ea.,129,265.0,nan,129,138
28 15 11.15,28 18 11 Security Access Metal Detectors,250,"Metal detector, walk through portal type, single zone",1 Elec,2.0,4.0,nan,"1,100",265.0,nan,"1,365","1,600"
28 15 11.15,28 18 11 Security Access Metal Detectors,260,Multi-zone,nan,2.0,4.0,nan,"2,350",265.0,nan,"2,615","2,975"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,10,SECURITY ACCESS X-RAY EQUIPMENT,nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.15,28 18 13 Security Access X-Ray Equipment,290,"X-ray machine, desk top, for mail/small packages/letters",1 Elec,4.0,2.0,Eo.,"3,425",132,nan,"3,557","3,975"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,300,"Conveyor type, incl. monitor",nan,2.0,4.0,nan,"18,800",265,nan,"19,065","21,000"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,310,Includes additional features,nan,2.0,4.0,nan,"33,400",265,nan,"33,665","37,100"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,320,"X-ray machine, large unit, for airports, incl. monitor",2 Elec,1.0,16.0,nan,"46,900","1,050",nan,"47,950","53,000"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,330,Full console,nan,0.5,32.0,nan,"80,500","2,125",nan,"82,625","91,500"
28 15 11.15,28 18 15 Security Access Explosive Detection Equipment,10,SECURITY ACCESS EXPLOSIVE DETECTION EQUIPMENT,nan,nan,nan,nan,,nan,nan,nan,nan
28 15 11.15,28 18 15 Security Access Explosive Detection Equipment,270,"Explosives detector, walk through portal type",1 Elec,2.0,4.0,Ea.,"175,000",265.0,nan,"175,265","193,000"
28 15 11.15,28 18 15 Security Access Explosive Detection Equipment,280,"Hand held, battery operated",nan,nan,nan,"""",nan,nan,nan,"25,500","28,100"
28 42 15.50,Tank Leak Detection Systems,10,TANK LEAK DETECTION SYSTEMS Liquid and vapor,nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,100,For hydrocarbons and hazardous liquids / vapors,nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,120,"Controller, data acquisition, incl. printer, modem, RS232 port",nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,140,"24 channel, for use with all probes",nan,nan,nan,Ea.,"4,725",nan,nan,"4,725","5,200"
28 42 15.50,Tank Leak Detection Systems,160,"9 channel, for external monitoring",nan,nan,nan,Ea.,"1,675",nan,nan,"1,675","1,850"
28 42 15.50,Tank Leak Detection Systems,200,! Probes,nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,210,Well monitoring,nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,220,Liquid phase detection,nan,nan,nan,Eo.,765,nan,nan,765,840
28 42 15.50,Tank Leak Detection Systems,230,"Hydrocarbon vapor, fixed position",nan,nan,nan,nan,770,nan,nan,770,850
28 42 15.50,Tank Leak Detection Systems,240,"Hydrocarbon vapor, float mounted",nan,nan,nan,nan,705,nan,nan,705,77 %
28 42 15.50,Tank Leak Detection Systems,250,Both liquid and vapor hydrocarbon,nan,nan,nan,nan,770,nan,nan,770,850
28 42 15.50,Tank Leak Detection Systems,300,"Secondary containment, liquid phase",nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,310,Pipe trench / manway sump,nan,nan,nan,Ea.,795,nan,nan,795,870
28 42 15.50,Tank Leak Detection Systems,320,Double wall pipe and manual sump,nan,nan,nan,nan,665,nan,nan,665,730
28 42 15.50,Tank Leak Detection Systems,330,Double wall fiberglass annular space,nan,nan,nan,nan,475,nan,nan,475,525
28 42 15.50,Tank Leak Detection Systems,340,Double wall steel tank annular space,nan,nan,nan,nan,287,nan,nan,287,315
28 42 15.50,Tank Leak Detection Systems,500,Accessories,nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,510,"Modem, non-dedicated phone line",nan,nan,nan,Ea.,370,nan,nan,370,40
28 42 15.50,Tank Leak Detection Systems,600,"Monitoring, internal",nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,610,"Automatic tank gauge, incl. overfill",nan,nan,nan,E==.,"1,425",nan,nan,"1,425","1,575"
28 42 15.50,Tank Leak Detection Systems,620,Product line,nan,nan,nan,1,"1,500",nan,nan,"1,500","1,625"
28 42 15.50,Tank Leak Detection Systems,700,"Monitoring, special",nan,nan,nan,nan,,nan,nan,nan,nan
28 42 15.50,Tank Leak Detection Systems,710,] Cathodic protection,nan,nan,nan,Ea.,810,nan,nan,810,890
28 42 15.50,Tank Leak Detection Systems,720,Annular space chemical monitor,nan,nan,nan,"""","1,100",nan,nan,"1,100","1,200"
28 46 11.21,Carbon-Monoxide Detection Sensors,10,CARBON-MONOXIDE DETECTION SENSORS,nan,nan,nan,nan,,nan,nan,nan,nan
28 46 11.21,Carbon-Monoxide Detection Sensors,8400,Smoke and carbon monoxide alarm battery operated photoelectric low profile,1 Elec,24.0,.333,Ea.,57.5,22222366.0,nan,79.5,96.5
28 46 11.21,Carbon-Monoxide Detection Sensors,8410,low profile photoelectric battery powered,nan,24.0,.333,nan,45.0,nan,nan,67.0,82.5
28 46 11.21,Carbon-Monoxide Detection Sensors,8420,photoelectric low profile sealed lithium,nan,24.0,.333,nan,79.0,nan,nan,101.0,120.0
28 46 11.21,Carbon-Monoxide Detection Sensors,8430,Photoelectric low profile sealed lithium smoke and CO with voice combo,nan,24.0,.333,nan,55.0,22.0,nan,77.0,93.5
28 46 11.21,Carbon-Monoxide Detection Sensors,8500,"Carbon monoxide sensor, wall mount 1 Mod 1 relay output smoke & heat",nan,24.0,.333,nan,460.0,nan,nan,482.0,545.0
28 46 11.21,Carbon-Monoxide Detection Sensors,8700,"Carbon monoxide detector, battery operated, wall mounted",nan,16.0,1.500 !,nan,45.0,33.0,nan,78.0,98.5
28 46 11.21,Carbon-Monoxide Detection Sensors,8710,"Hardwired, wall and ceiling mounted",nan,8.0,1,nan,77.5,nan,nan,143.5,184.0
28 46 11.21,Carbon-Monoxide Detection Sensors,8720,Duct mounted,nan,8.0,1,nan,340.0,nan,nan,406.0,475.0
28 46 11.27,Other Sensors,10,OTHER SENSORS,nan,nan,nan,nan,,nan,nan,nan,nan
28 46 11.27,Other Sensors,5200,"Smoke detector, ceiling type",1 Elec,6.2,1.29,Ea.,143,85.5,nan,228.50,284
28 46 11.27,Other Sensors,5240,"Smoke detector, addressable type",nan,6.0,1.333,nan,226,88.5,nan,314.50,380
28 46 11.27,Other Sensors,5400,Duct type,nan,3.2,2.5,nan,310,166.0,nan,476,590
28 46 11.27,Other Sensors,5420,Duct addressable type,nan,3.2,2.5,T,190,166.0,nan,356,455
28 46 11.27,Other Sensors,8300,"Smoke alarm with integrated strobe light 120 V, 16DB 60 fpm flash rate",1 Elec,16.0,1.5,Ea.,133,33.0,nan,166,195
28 46 11.27,Other Sensors,8310,"Photoelectric smoke detector with strobe 120 V, 90 DB ceiling mount",nan,12.0,0.667,1,237,44.0,nan,281,325
28 46 11.27,Other Sensors,8320,"120 V, 90 DB wall mount",nan,12.0,0.667,nan,229,44.0,nan,273,320
28 46 11.27,Other Sensors,8440,"Fire alarm beam detector, motorized reflective, infrared optical beam",2 Elec,1.6,10.0,nan,725,660.0,nan,"1,385","1,775"
28 46 11.27,Other Sensors,8450,"Fire alarm beam detector, motorized reflective, IR/UV optical beam",F,1.6,10.0,nan,"1,025",660.0,nan,"1,685","2,100"
28 46 11.50,Fire and Heat Detectors,10,FIRE & HEAT DETECTORS,nan,nan,nan,nan,,nan,nan,nan,nan
28 46 11.50,Fire and Heat Detectors,5000,"Detector, rate of rise",1 Elec,8.0,1.0,Ea.,31.0,66.0,nan,97.0,133.0
28 46 20.50,Alarm Panels and Devices,10,"ALARM PANELS AND DEVICES, not including wires & conduits",nan,nan,nan,nan,,nan,nan,nan,nan
28 46 20.50,Alarm Panels and Devices,2200,Intercom remote station,1 Elec,8.0,1.0,Eg.,94.50,66,nan,160.50,203
