Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
28 15 11.11,Standard Readers,10,STANDARD CARD READERS,,,,,,,,,
28 15 11.11,Standard Readers,15,Card key access,,,,,,,,,
28 15 11.11,Standard Readers,20,"Computerized system, processor, proximity reader and cards",,,,,,,,,
28 15 11.11,Standard Readers,30,"Does not include door hardware, lockset or wiring",,,,,,,,,
28 15 11.11,Standard Readers,40,Card key system for 1 door,,,,Ea.,"1,675",,,"1,675","1,850"
28 15 11.11,Standard Readers,60,Card key system for 2 doors,,,,,"2,400",,,"2,400","2,650"
28 15 11.11,Standard Readers,80,Card key system for 4 doors,,,,,"2,625",,,"2,625","2,875"
28 15 11.11,Standard Readers,100,Processor for card key access system,,,,,"1,250",,,"1,250","1,375"
28 15 11.11,Standard Readers,160,"Magnetic lock for electric access, 600 pound holding force",,,,,192,,,192,211
28 15 11.11,Standard Readers,170,"Magnetic lock for electric access, 1200 pound holding force",,,,,192,,,192,211
28 15 11.11,Standard Readers,200,Proximity card reader,,,,,199,,,199,219
28 15 11.15,Biometric Identity Devices,10,BIOMETRIC IDENTITY DEVICES,,,,,,,,,
28 15 11.15,Biometric Identity Devices,220,"Hand geometry scanner, mem of 512 users, excl. striker/power",1 Elec,8888838.0,2.667,Ea.,"3,075",177.0,,"3,252","3,625"
28 15 11.15,Biometric Identity Devices,230,"Memory upgrade for, adds 9,700 user profiles",,,,1,550,266.0,,616,705
28 15 11.15,Biometric Identity Devices,240,"Adds 32,500 user profiles",,,,1,735,266.0,,801,905
28 15 11.15,Biometric Identity Devices,250,"Prison type, memory of 256 users, excl. striker/power",,,2.667,,"3,525",147.0,,"3,702","4,125"
28 15 11.15,Biometric Identity Devices,260,"Memory upgrade for, adds 3,300 user profiles",,,,,515,266.0,,581,670
28 15 11.15,Biometric Identity Devices,270,"Adds 9,700 user profiles",,,,,635,66.0,,701,800
28 15 11.15,Biometric Identity Devices,280,"Adds 27,900 user profiles",,,8.0,,970,66.0,,"1,036","1,175"
28 15 11.15,Biometric Identity Devices,290,"All weather, mem of 512 users, excl. striker/power",3,2.667,,,"5,575",177.0,,"5,752","6,375"
28 15 11.15,Biometric Identity Devices,300,"Facial & fingerprint scanner, combination unit, excl. striker/power",3,2.667,,,"1,175",177.0,,"1,352","1,550"
28 15 11.15,Biometric Identity Devices,310,"Access for, for initial setup, excl. striker/power",3,2.667,,,"1,750",177.0,,"1,927","2,175"
28 15 11.15,28 18 11 Security Access Metal Detectors,10,SECURITY ACCESS METAL DETECTORS,,,,,,,,,
28 15 11.15,28 18 11 Security Access Metal Detectors,240,"Metal detector, hand-held, wand type, unit only",,,,Ea.,129,265.0,,129,138
28 15 11.15,28 18 11 Security Access Metal Detectors,250,"Metal detector, walk through portal type, single zone",1 Elec,2.0,4.0,,"1,100",265.0,,"1,365","1,600"
28 15 11.15,28 18 11 Security Access Metal Detectors,260,Multi-zone,,2.0,4.0,,"2,350",265.0,,"2,615","2,975"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,10,SECURITY ACCESS X-RAY EQUIPMENT,,,,,,,,,
28 15 11.15,28 18 13 Security Access X-Ray Equipment,290,"X-ray machine, desk top, for mail/small packages/letters",1 Elec,4.0,2.0,Eo.,"3,425",132,,"3,557","3,975"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,300,"Conveyor type, incl. monitor",,2.0,4.0,,"18,800",265,,"19,065","21,000"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,310,Includes additional features,,2.0,4.0,,"33,400",265,,"33,665","37,100"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,320,"X-ray machine, large unit, for airports, incl. monitor",2 Elec,1.0,16.0,,"46,900","1,050",,"47,950","53,000"
28 15 11.15,28 18 13 Security Access X-Ray Equipment,330,Full console,,0.5,32.0,,"80,500","2,125",,"82,625","91,500"
28 15 11.15,28 18 15 Security Access Explosive Detection Equipment,10,SECURITY ACCESS EXPLOSIVE DETECTION EQUIPMENT,,,,,,,,,
28 15 11.15,28 18 15 Security Access Explosive Detection Equipment,270,"Explosives detector, walk through portal type",1 Elec,2.0,4.0,Ea.,"175,000",265.0,,"175,265","193,000"
28 15 11.15,28 18 15 Security Access Explosive Detection Equipment,280,"Hand held, battery operated",,,,"""",,,,"25,500","28,100"
28 42 15.50,Tank Leak Detection Systems,10,TANK LEAK DETECTION SYSTEMS Liquid and vapor,,,,,,,,,
28 42 15.50,Tank Leak Detection Systems,100,For hydrocarbons and hazardous liquids / vapors,,,,,,,,,
28 42 15.50,Tank Leak Detection Systems,120,"Controller, data acquisition, incl. printer, modem, RS232 port",,,,,,,,,
28 42 15.50,Tank Leak Detection Systems,140,"24 channel, for use with all probes",,,,Ea.,"4,725",,,"4,725","5,200"
28 42 15.50,Tank Leak Detection Systems,160,"9 channel, for external monitoring",,,,Ea.,"1,675",,,"1,675","1,850"
28 42 15.50,Tank Leak Detection Systems,200,! Probes,,,,,,,,,
28 42 15.50,Tank Leak Detection Systems,210,Well monitoring,,,,,,,,,
