Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",20,"Asphaltic concrete, 2"" thick",B 37,720.0,0.067,S.Y.,7.2,3.19,0.37,10.76,13.1
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",100,"2-1/2"" thick",,660.0,0.073,,9.15,3.48,0.4,13.03,15.7
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",300,"Concrete, 3,000 psi, CIP, 6 x 6 -W1.4 x W1.4 mesh,",,,,,,,,,
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",310,"broomed finish, no base, 4"" thick",B 24,600.0,0.04,S.F.,2.88,2.07,,4.95,6.25
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",350,"5"" thick",,545.0,0.044,,3.54,2.28,,5.82,7.25
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",400,"6"" thick",B 24,510.0,0.047,S.F.,4.13,2.43,,6.56,8.15
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",450,"For bank run gravel base, 4"" thick, add",B 18,2500.0,0.01,,0.64,0.44,0.05,1.13,1.42
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",520,"8"" thick, add",#,1600.0,0.015,,1.28,0.69,0.09,2.06,2.53
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",550,"Exposed aggregate finish, add to above, minimum",B 24,1875.0,0.013,,0.09,0.66,,0.75,1.08
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",600,Maximum,,455.0,0.053,,0.3,2.73,,3.03,4.36
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",1000,"Crushed stone, 1"" thick, white marble",2 Clab,1700.0,0.009,,0.56,0.43,,0.99,1.25
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",1050,Bluestone,,1700.0,0.009,,0.2,0.43,,0.63,0.86
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",1700,"Redwood, prefabricated, 4' x 4' sections",2 Carp,316.0,0.051,,13.1,2.85,,15.95,18.65
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",1750,"Redwood planks, 1"" thick, on sleepers",,240.0,0.067,,13.1,3.75,,16.85,20.0
32 06 10.1,"0010 SIDEWALKS, DRIVEWAYS AND PATIOS No base",2250,"Stone dust, 4"" thick",B 62,900.0,0.027,S.Y.,6.25,1.32,0.29,7.86,9.2
32 06 10.20,Steps,10,STEPS,,,,,,,,,
32 06 10.20,Steps,11,"Incl. excav, borrow & concrete base as required",,,,,,,,,
32 06 10.20,Steps,100,Brick steps,B 24,35.0,0.686,LF Riser,27.5,35.5,,63.0,832.0
32 06 10.20,Steps,200,Railroad ties,2 Clab,25.0,0.64,,4.33,29.0,,33.33,48.5
32 06 10.20,Steps,300,"Bluestone treads, 12"" x 2"" or 12"" x 1-1/2""",B 24,30.0,0.8,,54.0,41.5,,95.5,120.0
32 06 10.20,Steps,500,"Concrete, cast inplace, see Section 03 30 53.40",,,,,,,,,
32 06 10.20,Steps,600,"Precast concrete, see Section 03 41 23.50",,,,,,,,,
32 06 10.20,Steps,4025,"Steel edge strips, incl. stakes, 1/4"" x 5""",B-1,390.0,0.062,LF,5.6,2.85,,8.45,10.45
32 06 10.20,Steps,4050,"Edging, landscape timber or railroad ties, 6"" x 8""",2 Corp,170.0,0.094,,3.25,5.3,,8.55,11.5
32 11 23.23,Base Course Drainage Layers,10,BASE COURSE DRAINAGE LAYERS,,,,,,,,,
32 11 23.23,Base Course Drainage Layers,11,"For Soil Stabilization, see Section 31 32",,,,,,,,,
32 11 23.23,Base Course Drainage Layers,12,For roadways and large areas,,,,,,,,,
32 11 23.23,Base Course Drainage Layers,50,"Crushed 3/4"" stone base, compacted, 3"" deep",B-36C,5200.0,0.008,S.Y.,1.99,44445,.71,3.13,3.61
32 11 23.23,Base Course Drainage Layers,100,"6"" deep",,5000.0,0.008,,3.98,.45,.74,5.17,5.85
32 11 23.23,Base Course Drainage Layers,200,"9"" deep",,4600.0,0.009,,5.95,.49,.80,7.24,8.15
32 11 23.23,Base Course Drainage Layers,300,"12"" deep",,4200.0,0.01,,7.95,.54,.88,9.37,10.5
32 11 23.23,Base Course Drainage Layers,301,"Crushed 1-1/2"" stone base, compacted to 4"" deep",B-36B,6000.0,0.011,,5.5,.58,.73,6.81,7.7
32 11 23.23,Base Course Drainage Layers,302,"6"" deep",,5400.0,0.012,,8.25,.64,.81,9.7,10.9
32 11 23.23,Base Course Drainage Layers,303,"8"" deep",,4500.0,0.014,,11.0,.77,.97,12.74,14.3
32 11 23.23,Base Course Drainage Layers,304,"12"" deep",,3800.0,0.017,,16.5,.91,1.15,18.56,21.0
32 11 23.23,Base Course Drainage Layers,350,"Bank run gravel, spread and compacted",,,,,,,,,
32 11 23.23,Base Course Drainage Layers,370,"6"" deep",B-32,6000.0,0.005,S.Y.,5.3,.30,.41,6.01,6.75
