Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,33,34 13 - Septic Tanks,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,33,34 13.13 Concrete Septic Tanks,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,10,CONCRETE SEPTIC TANKS,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,11,Not including excavation or piping,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,15,"Septic tanks, precast, 1,000 gallon",B-21,8.0,3.5,Ea.,990,184,21.50,"1,195.50","1,400"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,60,"1,500 gallon",nan,7.0,4.0,nan,"1,425",210,25,"1,660","1,900"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,100,"2,000 gallon",nan,5.0,15.6,nan,"2,400",294,34.50,"2,728.50","3,125"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,200,"5,000 gallon",B-13,3.5,16.0,nan,"7,250",795,600,"8,645","9,800"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,300,"15,000 gallon, 4 piece",B-13B,1.7,32.941,Ea.,"20,300","1,625","1,325","23,250","26,200"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,400,"25,000 gallon, 4 piece",nan,1.1,50.909,nan,"37,500","2,525","2,050","42,075","47,300"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,500,"40,000 gallon, 4 piece",nan,0.8,70.0,nan,"60,000","3,475","2,825","66,300","74,500"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,520,"50,000 gallon, 5 piece",B-13C,0.6,93.333,nan,"69,000","4,625","2,350","75,975","85,500"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,640,"75,000 gallon, cast in place",C-14C,0.25,448.0,nan,"84,000","24,100",112,"108,212","128,500"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,660,"100,000 gallon",nan,0.15,747.0,nan,"104,000","40,200",187,"144,387","174,000"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,1150,"Leaching fieldchambers, 13' x 3'-7"" x 1'4"", standard",B-13,16.0,3.5,nan,480,174,131,785,935
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,1200,"Heavy duty, 8'x 4' x 1'-6""",nan,14.0,4.0,1,284,199,149,632,770
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,1300,"13' x 3'-9"" x 1'-6""",nan,12.0,4.667,nan,"1,400",232,174,"1,806","2,075"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,1350,"20' x 4' x 1'6""",nan,5.0,11.2,nan,"1,250",555,420,"2,225","2,650"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,1400,"Leaching pit, precast concrete, 3' diameter, 3' deep",B-21,8.0,3.5,nan,715,184,21.50,920.50,"1,075"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,1500,"6' diameter, 3' section",nan,4.7,5.957,nan,"1,125",315,37,"1,477","1,725"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,2000,"Velocity reducing pit, precast conc., 6' diameter, 3' deep",nan,4.7,5.957,nan,"1,875",315,37,"2,227","2,575"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,33,34 13.33 Polyethylene Septic Tanks,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,10,POLYETHYLENE SEPTIC TANKS,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,11,"High density polyethylene, 300 gallon",B-21,9.5,2.947,Ea.,725,155,18.25,898.25,"1,050"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,12,"High density polyethylene, 500 gallon",nan,9.0,3.111,nan,"1,150",163,19.25,"1,332.25","1,550"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,14,"High density polyethylene, 750 gallon",nan,8.5,3.294,nan,"1,225",173,20.50,"1,418.50","1,625"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,15,"High density polyethylene, 1,000 gallon",nan,8.0,3.5,nan,"1,325",184,21.50,"1,530.50","1,750"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,20,"1,250 gallon",nan,8.0,3.5,nan,"1,725",184,21.50,"1,930.50","2,200"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,25,"1,500 gallon",nan,7.0,4.0,nan,"2,300",210,25,"2,535","2,875"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,30,"2,500 gallon",nan,6.0,14.667,nan,"4,750",245,29,"5,024","5,625"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,35,"3,000 gallon",nan,5.5,5.091,nan,"6,500",267,31.50,"6,798.50","7,575"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,40,"3,500 gallon",nan,5.0,5.6,nan,"7,750",294,34.50,"8,078.50","9,000"
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,33,34 16 - Septic Tank Effluent Filters,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,33,34 16.13 Septic Tank Gravity Effluent Filters,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,10,SEPTIC TANK GRAVITY EFFLUENT FILTERS,nan,nan,nan,nan,,nan,nan,nan,nan
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3000,"Effluent filte, 4"" diameter",1 Skwk,877.0,nan,Ea.,36,59,nan,95,128
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3020,"6"" diameter",nan,1.143,nan,nan,44,67.50,nan,111.50,149
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3030,"8"" diameter",nan,1.143,nan,nan,256,67.50,nan,323.50,380
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3040,"8"" diameter, very fine",7,1.143,nan,nan,510,67.50,nan,577.50,660
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3050,"10"" diameter, very fine",6,1.333,nan,nan,242,78.50,nan,320.50,385
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3060,"10"" diameter",6,1.333,nan,nan,276,78.50,nan,354.50,425
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3080,"12"" diameter",6,1.333,nan,nan,665,78.50,nan,743.50,850
nan,33334 Onsite Wa34ewater DispOnsite3 34 13 - Septic TanWastewater3.13 Concrete Septic Tanks,3090,"15"" diameter",5,1.6,nan,nan,"1,100",94,nan,"1,194","1,350"
