Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
nan,Roadway 71nstruction,250,"9-1 / 4 "" x 5-7  /8 "" x  1/4  "" high , plowable  , asphalt  pavmt .",A -2A,120.0,0.2,Eo .,3.86,9.45,4.15,17.46,23.0
nan,Roadway 71nstruction,300,"Barrier and   curb delineators  , reflectorized ,4 "" x  6""",2 Clab,150.0,0.107,nan,3.34,4.86,nan,8.2,10.9
nan,Roadway 71nstruction,310,"3 "" x  5""",nan,150.0,0.107,>,4.54,4.86,nan,9.4,12.25
nan,Roadway 71nstruction,500,"Rumble    stri, polycarbonate",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Roadway 71nstruction,510,"24  "" x 3-1 / 2 "" x  1/2 ""  high",2 Clab,50.0,0.32,Eo .,10.2,14.6,nan,24.8,32.5
nan,Railway Construction,800,"Siding ,yard  spur , level grade",B -14,57.0,0.842,LF,140.0,40.5,5.75,186.25,220.0
nan,Railway Construction,1002,"Steel  ties in concrete , incl.fasteners   &  plates",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Railway Construction,1020,100  lb. new   rail,B- 14,22.0,2.182,LF,207.0,104.0,14.95,325.95,400.0
nan,Railroad Turnouts,2200,"Turnout  , # 8 complete   ,w  /rails, plates ,bars , frog, switch  point ,",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Railroad Turnouts,2250,"timbers  , and  ballast to  6"" below   bottom    of ties",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Railroad Turnouts,2280,90  lb. rails,B-13,2.25222222224,Ea.,nan,"35,800","11,100","8,375","55,275","65,000"
nan,Railroad Turnouts,2290,90  lb. relay rails,nan,0.25,224,nan,"24,000","11,100","8,375","43,475","52,000"
nan,Railroad Turnouts,2300,100   lb. rails,nan,nan,224,nan,"39,900","11,100","8,375","59,375","69,500"
nan,Railroad Turnouts,2310,100   lb. relay rails,nan,0.25,224,nan,"26,800","11,100","8,375","46,275","55,000"
nan,Railroad Turnouts,2320,110   lb. rails,nan,0.25,224,nan,"43,900","11,100","8,375","63,375","74,000"
nan,Railroad Turnouts,2330,110   lb.relay  rails,nan,0.25,224,nan,"29,600","11,100","8,375","49,075","58,000"
nan,Railroad Turnouts,2340,115   lb.rails,nan,nan,224,nan,"48,100","11,100","8,375","67,575","78,500"
nan,Railroad Turnouts,2350,115   lb.relay  rails,nan,0.25,224,nan,"31,300","11,100","8,375","50,775","60,000"
nan,Railroad Turnouts,2360,132   lb.rails,nan,0.25,224,nan,"55,000","11,100","8,375","74,475","86,000"
