Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
,WIND TURBINES & COMPONENTS,10,WIND TURBINES & COMPONENTS,,,,,,,,,
,WIND TURBINES & COMPONENTS,500,"Complete system, grid connected",,,,,,,,,
,WIND TURBINES & COMPONENTS,1000,"20 kW, 31' diam., incl. labor & material",G,,,System,,,,"49,900","49,900"
,WIND TURBINES & COMPONENTS,2000,"2.4 kW, 12' diam., incl. labor & material",G,,,"""",,,,"18,000","18,000"
,WIND TURBINES & COMPONENTS,2900,Component system,,,,,,,,,
,WIND TURBINES & COMPONENTS,3200,"1,000 W, 9' diom.",G 1 Elec,2.05,3.902,Ea.,"1,500",258.0,,"1,758","2,025"
,WIND TURBINES & COMPONENTS,3400,Mounting hardware,,,,,,,,,
,WIND TURBINES & COMPONENTS,3500,30' guyed tower kit,G 2 Clab,5.12,3.125,Ea.,425,143.0,,568,675
,WIND TURBINES & COMPONENTS,3505,3' galvanized helical earth screw,1 Clab,8.0,1.0,,59.50,45.5,,105,134
,WIND TURBINES & COMPONENTS,3510,Attic mount kit,G 1 Rofc,2.56,3.125,,247,155.0,,402,525
,WIND TURBINES & COMPONENTS,3520,Roof mount kit,G 1 Clab,3.41,2.346,,252,107.0,,359,435
,WIND TURBINES & COMPONENTS,8900,Equipment,,,,,,,,95.0,
,WIND TURBINES & COMPONENTS,9100,"DC to AC inverter for, 48 V, 4,000 W",G 1 Elec,2.0,4.0,Ea.,"2,175",265.0,,"2,440","2,800"
