Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
02 41 13.23,Utility Line Removal,10,UTILITY LINE REMOVAL,nan,nan,nan,nan,,nan,nan,nan,nan
02 41 13.23,Utility Line Removal,15,"No hauling, abandon catch basin or manhole",B-6,7.0,3.429,Ea.,nan,169,47.0,216,305
02 41 13.23,Utility Line Removal,20,"Remove existing catch basin or manhole, masonry",nan,4.0,6.0,nan,nan,296,82.0,378,530
02 41 13.23,Utility Line Removal,30,"Catch basin or manhole frames and covers, stored",nan,13.0,1.846,nan,nan,91,25.5,116.50,164
02 41 13.23,Utility Line Removal,40,Remove and reset,B-6,7.0,3.429,Ea.,nan,169,47.0,216,305
02 41 13.23,Utility Line Removal,900,"Hydrants, fire, remove only",B 21A,5.0,8.0,nan,nan,450,114.0,564,800
02 41 13.23,Utility Line Removal,950,Remove and reset,"""",2.0,20.0,nan,nan,"1,125",286.0,"1,411","2,000"
02 41 13.23,Utility Line Removal,2900,"Pipe removal, sewer/water, no excavation, 12"" diameter",B-6,175.0,0.137,LF,nan,6.75,1.88,8.631,12.15
02 41 13.23,Utility Line Removal,2930,"15""-18"" diameter",B-12Z,150.0,0.16,nan,nan,8.25,8.95,17.20,22
02 41 13.23,Utility Line Removal,2960,"21""-24"" diameter",nan,120.0,0.2,nan,nan,10.30,11.15,21.45,27.50
02 41 13.23,Utility Line Removal,3000,"27""-36"" diameter",nan,90.0,0.267,nan,nan,13.75,14.9,28.65,37
02 41 13.23,Utility Line Removal,3200,"Steel, welded connections, 4"" diameter",B-6,160.0,0.15,nan,nan,7.40,2.06,9.46,13.30
02 41 13.23,Utility Line Removal,3300,"10"" diameter",nan,80.0,0.3,nan,nan,14.80,4.11,18.911,26.50
02 41 13.30,Minor Site Demolition,10,MINOR SITE DEMOLITION,R024119-10,nan,nan,nan,,nan,nan,nan,nan
02 41 13.30,Minor Site Demolition,100,"Roadside delineators, remove only",B 80,175.0,183.0,Ea.,,9.15,3.1,12.25,17.05
02 41 13.30,Minor Site Demolition,110,Remove and reset,nan,100.0,0.32,"""",,16.05,5.4,21.45,30
02 41 13.30,Minor Site Demolition,800,"Guiderail, corrugated steel, remove only",B-80A,100.0,0.24,L.F.,,10.95,3.77,14.72,20.50
02 41 13.30,Minor Site Demolition,850,Remove and reset,"""",40.0,0.6,"""",,27.5,9.45,36.951,51
02 41 13.30,Minor Site Demolition,860,"Guide posts, remove only",B 80B,120.0,0.267,Ea.,,12.9,4.75,17.651,24.50
02 41 13.30,Minor Site Demolition,870,Remove and reset,B 55,50.0,0.48,"""",,22.5,15.3,37.8,51
02 41 13.30,Minor Site Demolition,1000,"Masonry walls, block, solid",B-5,1800.0,0.031,C.F.,,1.56,0.84,2.401,3.24
02 41 13.30,Minor Site Demolition,1200,"Brick, solid",nan,900.0,0.062,nan,,3.12,1.68,4.8,6.50
02 41 13.30,Minor Site Demolition,1400,"Stone, with mortar",nan,900.0,0.062,nan,,3.12,1.68,4.8,6.50
02 41 13.30,Minor Site Demolition,1500,Dry set,nan,1500.0,0.037,nan,,1.87,1.01,2.88,3.89
02 41 13.30,Minor Site Demolition,1600,"Median barrier, precast concrete, remove and store",B-3,430.0,0.112,LF,,5.7,6.3,12.0,=15.40
02 41 13.30,Minor Site Demolition,1610,Remove and reset,"""T",390.0,0.123,"""",,6.25,6.95,13.201,17
02 41 13.30,Minor Site Demolition,4000,"Sidewalk removal, bituminous, 2"" thick",B 6,350.0,0.069,S.Y.,,3.39,0.94,4.331,6.10
02 41 13.30,Minor Site Demolition,4010,"2-1/2"" thick",nan,325.0,0.074,nan,,3.65,1.01,4.66,6.55
02 41 13.30,Minor Site Demolition,4050,"Brick, set in mortar",nan,185.0,0.13,nan,,6.4,1.78,8.181,11.50
02 41 13.30,Minor Site Demolition,4100,"Concrete, plain, 4""",nan,160.0,0.15,nan,,7.4,2.06,9.46,13.30
02 41 13.30,Minor Site Demolition,4110,"Plain, 5""",nan,140.0,0.171,nan,,8.45,2.35,10.8,15.20
02 41 13.30,Minor Site Demolition,4120,"Plain, 6""",nan,120.0,0.2,nan,,9.9,2.74,12.64,17.70
02 41 13.30,Minor Site Demolition,4200,"Mesh reinforced, concrete, 4""",nan,150.0,0.16,nan,,7.9,2.19,10.09,14.15
02 41 13.30,Minor Site Demolition,4210,"5"" thick",nan,131.0,0.183,nan,,9.05,2.51,11.56,16.20
02 41 13.30,Minor Site Demolition,4220,"6"" thick",nan,112.0,214.0,"""",,10.6,2.94,13.541,19
02 41 13.30,Minor Site Demolition,4300,"Slab on grade removal, plain",B-5,45.0,1.244,C.Y.,,62.5,33.5,96.0,130
02 41 13.30,Minor Site Demolition,4310,Mesh reinforced,nan,33.0,1.697,nan,,85.0,46.0,131.0,178
02 41 13.30,Minor Site Demolition,4320,Rod reinforced,nan,25.0,2.24,nan,,112.0,60.5,172.5,234
02 41 13.30,Minor Site Demolition,4400,"For congested sites or small quantities, add up to",nan,nan,nan,nan,nan,nan,nan,200 %,200 %
02 41 13.30,Minor Site Demolition,4450,"For disposal on site, add",B-11A,232.0,0.069,nan,,3.66,5.8,9.46,11.85
02 41 13.30,Minor Site Demolition,4500,"To 5 miles, add",B-34D,76.0,0.105,C.Y.,,5.6,8.85,14.45,18.05
02 41 13.33,Railtrack Removal,10,RAILTRACK REMOVAL,nan,nan,nan,nan,,nan,nan,nan,nan
02 41 13.33,Railtrack Removal,3500,"Railroad track removal, ties and track",B-13,330.0,0.17,L.F,,8.40,6.35,14.75,19.50
02 41 13.33,Railtrack Removal,3600,Ballast,B-14,500.0,0.096,C.Y.,,4.59,0.66,5.25,7.55
02 41 13.33,Railtrack Removal,3700,"Remove and re-install, ties & track using new bolts & spikes",nan,50.0,0.96,LF.,,46,6.6,52.60,76
02 41 13.33,Railtrack Removal,3800,Turnouts using new bolts and spikes,W,nan,48.0,Eo.,,"2,300",330.0,"2,630","3,775"
02 65 10.30,Removal of Underground Storage Tanks,2050,"Disposal of decontaminated soil, minimum",nan,nan,nan,C.Y.,nan,nan,nan,135,150
02 65 10.30,Removal of Underground Storage Tanks,2055,Maximum,nan,nan,nan,C.Y.,nan,nan,nan,400,440
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,10,HAZARDOUS WASTE CLEANUP / PICKUP / DISPOSAL,nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,100,"For contractor rental equipment, i.e, dozer,",nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,110,"Front end loader, dump truck, etc., see 01 54 33 Reference Section",nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1000,Solid pickup,nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1100,55 gal. drums,nan,nan,nan,Ea.,nan,nan,nan,240.0,265.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1120,"Bulk material, minimum",nan,nan,nan,Ton,nan,nan,nan,190.0,210.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1130,Maximum,nan,nan,nan,nan,nan,nan,nan,595.0,655.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1200,Transportation to disposal site,nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1220,Truckload 80 drums or 25 C.Y. or 18 tons,nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1260,Minimum,nan,nan,nan,Mile,nan,nan,nan,2.255,4.45
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,1270,Maximum,nan,nan,nan,nan,nan,nan,nan,7.25,7.98
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,3000,"Liquid pickup, vacuum truck, stainless steel tank",nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,3100,"Minimum charge, 4 hours",nan,nan,nan,nan,,nan,nan,nan,nan
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,3110,"1 compartment, 2200 gallon",nan,nan,nan,Hr.,nan,nan,nan,140.0,155.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,3120,"2 compartment, 5000 gallon",nan,nan,nan,"""",nan,nan,nan,200.0,225.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,3400,Transportation in 6900 gallon bulk truck,nan,nan,nan,Mile,nan,nan,nan,7.95,8.75
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,3410,In teflon lined truck,nan,nan,nan,"""",nan,nan,nan,10.2,11.25
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,5000,Heavy sludge or dry vacuumable material,nan,nan,nan,Hr.,nan,nan,nan,140.0,155.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,6000,"Dumpsite disposal charge, minimum",nan,nan,nan,Ton,nan,nan,nan,140.0,155.0
02 81 20.10,Hazardous Waste Cleanup / Pickup / Disposal,6020,Maximum,nan,nan,nan,>,nan,nan,nan,415.0,455.0
02 82 13.39,Asbestos Remediation Plans and Methods,10,ASBESTOS REMEDIATION PLANS AND METHODS,nan,nan,nan,nan,,nan,nan,nan,nan
02 82 13.39,Asbestos Remediation Plans and Methods,100,Building Survey - Commercial Building,nan,nan,nan,Ea.,nan,nan,nan,"2,200","2,400"
02 82 13.39,Asbestos Remediation Plans and Methods,200,Asbestos Abatement Remediation Plan,nan,nan,nan,"""",nan,nan,nan,"1,350","1,475"
02 82 13.41,Asbestos Abatement Equipment,10,ASBESTOS ABATEMENT EQUIPMENT,nan,nan,nan,nan,,nan,nan,nan,nan
02 82 13.41,Asbestos Abatement Equipment,11,"Equipment and supplies, buy",nan,nan,nan,nan,,nan,nan,nan,nan
02 82 13.41,Asbestos Abatement Equipment,200,"Airfiltration device, 2000 CFM",nan,nan,nan,Eq.,"1,100",nan,nan,"1,100","1,200"
02 82 13.41,Asbestos Abatement Equipment,250,"Large volume airsampling pump, minimum",nan,nan,nan,nan,435,nan,nan,435,480
02 82 13.41,Asbestos Abatement Equipment,260,Maximum,nan,nan,nan,nan,460,nan,nan,460,505
02 82 13.41,Asbestos Abatement Equipment,300,"Airless sprayer unit, 2 gun",nan,nan,nan,nan,"2,600",nan,nan,"2,600","2,850"
02 82 13.41,Asbestos Abatement Equipment,350,"Light stand, 500 watt",nan,nan,nan,nan,48,nan,nan,48,52.50
02 82 13.41,Asbestos Abatement Equipment,400,Personal respirators,nan,nan,nan,nan,,nan,nan,nan,nan
02 82 13.41,Asbestos Abatement Equipment,410,"Negative pressure, 1/2 face, dual operation, minimum",nan,nan,nan,Eg.,28,nan,nan,28,31
02 82 13.41,Asbestos Abatement Equipment,420,Maximum,nan,nan,nan,nan,22,nan,nan,22,24.50
02 82 13.41,Asbestos Abatement Equipment,450,"P.A.P.R., fullface, minimum",nan,nan,nan,nan,710,nan,nan,710,780
02 82 13.41,Asbestos Abatement Equipment,460,Maximum,nan,nan,nan,nan,"1,275",nan,nan,"1,275","1,400"
02 82 13.41,Asbestos Abatement Equipment,470,"Supplied air, fullface, including airline, minimum",nan,nan,nan,nan,211,nan,nan,211,233
02 82 13.41,Asbestos Abatement Equipment,480,Maximum,nan,nan,nan,nan,845,nan,nan,845,930
02 82 13.41,Asbestos Abatement Equipment,500,Personnel sampling pump,nan,nan,nan,nan,215,nan,nan,215,236
02 41 19.20,"Selective Demolition, Dump Charges",500,"Reclamation station, usual charge",nan,nan,nan,Ton,nan,74,nan,74,81
02 41 19.21,"Selective Demolition, Gutting",10,"SELECTIVE DEMOLITION, GUTTING",nan,nan,nan,nan,,nan,nan,nan,nan
02 41 19.21,"Selective Demolition, Gutting",20,"Building interior, including disposal, dumpster fees not included",nan,nan,nan,nan,,nan,nan,nan,nan
02 41 19.21,"Selective Demolition, Gutting",500,Residential building,nan,nan,nan,nan,,nan,nan,nan,nan
02 41 19.21,"Selective Demolition, Gutting",560,Minimum,B-16,400.0,0.08,SF Fl.,nan,3.84,1.92,5.76,7.8
02 41 19.21,"Selective Demolition, Gutting",580,Maximum,"""",360.0,0.089,"""",nan,4.261,2.13,6.39,8.7
02 41 19.21,"Selective Demolition, Gutting",900,Commercial building,nan,nan,nan,nan,,nan,nan,nan,nan
02 41 19.21,"Selective Demolition, Gutting",1000,Minimum,B-16,350.0,0.091,SF Fl.,nan,4.38,2.19,6.57,8.95
02 41 19.21,"Selective Demolition, Gutting",1020,Maximum,nan,250.128,nan,nan,nan,6.15,3.07,9.22,12.55
02 41 19.25,"Selective Demolition, Saw Cutting",10,"SELECTIVE DEMOLITION, SAW CUTTING",R024119-10,nan,nan,nan,,nan,nan,nan,nan
02 41 19.25,"Selective Demolition, Saw Cutting",12,"For concrete saw cutting, see Section 03 81",nan,nan,nan,nan,,nan,nan,nan,nan
02 41 19.25,"Selective Demolition, Saw Cutting",15,"Asphalt, up to 3"" deep",B 89,1050.0,0.015,LF,23335.0,0.82,0.6,1.52,1.99
02 41 19.25,"Selective Demolition, Saw Cutting",20,Each additional inch of depth,B 89,1800.0,0.009,LF,0.03,0.48,0.35,0.86,1.13
02 41 19.25,"Selective Demolition, Saw Cutting",1200,"Masonry walls, hydraulic saw, brick, per inch of depth",B 89B,300.0,0.053,nan,0.03,2.86,3.58,6.47,8.25
02 41 19.25,"Selective Demolition, Saw Cutting",1220,"Block walls, solid, per inch of depth",It,250.0,0.064,nan,0.03,3.44,4.3,7.77,9.85
02 41 19.25,"Selective Demolition, Saw Cutting",2000,"Brick or masonry w/ hand held saw, per inch of depth",A 1,125.0,1.064,nan,0.05,2.92,0.88,3.85,5.4
02 41 19.25,"Selective Demolition, Saw Cutting",5000,"Wood sheathing to 1"" thick, on walls",1 Carp,200.0,0.04,nan,nan,2.25,nan,2.25,3.35
02 41 19.25,"Selective Demolition, Saw Cutting",5020,On roof,#,250.0,0.032,nan,nan,1.8,nan,1.8,2.68
02 41 19.27,"Selective Demolition, Torch Cutting",10,"SELECTIVE DEMOLITION, TORCH CUTTING",R024119-10,nan,nan,nan,,nan,nan,nan,nan
02 41 19.27,"Selective Demolition, Torch Cutting",20,"Steel, 1"" thick plate",E-25,333.0,0.024,LF,2.22,1.54,0.04,3.8,4.86
02 41 19.27,"Selective Demolition, Torch Cutting",40,"1"" diameter bar",If,600.0,0.013,Ea.,0.37,0.85,0.02,1.24,1.74
02 41 19.27,"Selective Demolition, Torch Cutting",1000,"Oxygen lance cutting, reinforced concrete walls",nan,nan,nan,nan,,nan,nan,nan,nan
02 41 19.27,"Selective Demolition, Torch Cutting",1040,"12""-16"" thick walls",11 Clab,10.0,1.8,LF.,nan,36.5,nan,36.5,54.5
02 41 19.27,"Selective Demolition, Torch Cutting",1080,"24"" thick walls","""",6.0,11.333,nan,nan,61.0,nan,61.0,90.5
02 42 10.10,Estimated Salvage Value or Savings,10,ESTIMATED SALVAGE VALUE OR SAVINGS,nan,nan,nan,nan,,nan,nan,nan,nan
02 42 10.10,Estimated Salvage Value or Savings,15,"Excludes material handling, packaging, container costs and",nan,nan,nan,nan,,nan,nan,nan,nan
02 42 10.10,Estimated Salvage Value or Savings,20,transportation for salvage or disposal,nan,nan,nan,nan,,nan,nan,nan,nan
02 42 10.10,Estimated Salvage Value or Savings,50,All items in Section 02 42 10.10 are credit deducts and not costs,nan,nan,nan,nan,,nan,nan,nan,nan
02 42 10.10,Estimated Salvage Value or Savings,100,Copper wire salvage value,G,nan,nan,Lb.,1.63,nan,nan,1.63,1.79
02 42 10.10,Estimated Salvage Value or Savings,200,Brass salvage value,G,nan,nan,nan,1.2,nan,nan,1.2,1.32
02 42 10.10,Estimated Salvage Value or Savings,250,Bronze,nan,nan,nan,nan,1.39,nan,nan,1.39,1.53
02 42 10.10,Estimated Salvage Value or Savings,300,Steel,G,nan,nan,nan,0.05,nan,nan,0.05,0.06
02 42 10.10,Estimated Salvage Value or Savings,304,304 Stainless Steel,nan,nan,nan,nan,0.29,nan,nan,0.29,0.32
02 42 10.10,Estimated Salvage Value or Savings,316,316 Stainless Steel,nan,nan,nan,nan,0.43,nan,nan,0.43,0.47
02 42 10.10,Estimated Salvage Value or Savings,400,Cast Iron,G,nan,nan,nan,0.06,nan,nan,0.06,0.07
02 42 10.10,Estimated Salvage Value or Savings,600,Aluminum siding,G,nan,nan,nan,0.32,nan,nan,0.32,0.35
02 42 10.10,Estimated Salvage Value or Savings,610,Aluminum wire,nan,nan,nan,nan,0.45,nan,nan,0.45,0.5
02 42 10.10,02 43 13.1Movingding Relocation,10,BUILDING RELOCATION,nan,nan,nan,nan,,nan,nan,nan,nan
02 42 10.10,02 43 13.1Movingding Relocation,11,"One day move, up to 24' wide",nan,nan,nan,nan,,nan,nan,nan,nan
02 42 10.10,02 43 13.1Movingding Relocation,20,Reset on existing foundation,nan,nan,nan,nan,nan,nan,nan,"11,500","11,500"
02 42 10.10,02 43 13.1Movingding Relocation,40,"Wood or steel frame bldg., based on ground floor area",GG B-4,185.0,0.259,S.F.,nan,12.25,2.78,15.03,21.50
02 42 10.10,02 43 13.1Movingding Relocation,60,"Masonry bldg., based on ground floor area","""",137.0,0.35,nan,nan,16.55,3.75,20.30,28.50
02 42 10.10,02 43 13.1Movingding Relocation,200,"For 24-42' wide, add",nan,nan,nan,nan,nan,nan,nan,15 %,15 %
02 56 13.10,Containment of Hazardous Waste,10,CONTAINMENT OF HAZARDOUS WASTE,nan,nan,nan,nan,,nan,nan,nan,nan
02 56 13.10,Containment of Hazardous Waste,20,OSHA Hazard level C,nan,nan,nan,nan,,nan,nan,nan,nan
02 56 13.10,Containment of Hazardous Waste,30,"OSHA Hazard level D decrease labor and equipment, deduct",nan,nan,nan,nan,,nan,45 %,nan,45%
02 56 13.10,Containment of Hazardous Waste,35,"OSHA Hazard level B increase labor and equipment, add",nan,nan,nan,nan,,nan,22 %,nan,22 %
