Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
31 05 13.10,ResultsDaily Labor-,10,BORROW,,,,,,,,,
31 05 13.10,ResultsDaily Labor-,20,"Spread, 200 HP dozer, no compaction, 2 mile RT haul",,,,,,,,,
31 05 13.10,ResultsDaily Labor-,200,Common borrow,B-15,600.0,0.047,C.Y.,12.55,2.52,4.81,19.88,23.0
31 05 13.10,ResultsDaily Labor-,700,Screened loam,,600.0,0.047,,34.0,2.52,4.81,41.33,46.5
31 05 13.10,ResultsDaily Labor-,800,"Topsoil, weed free",,600.0,0.047,,20.5,2.52,4.81,27.83,31.5
31 05 13.10,ResultsDaily Labor-,900,"For 5 mile haul, add",B-34B,200.0,0.04,,,2.12,3.84,5.96,7.4
31 05 16.10,Borrow,10,BORROW,,,,,,,,,
31 05 16.10,Borrow,20,"Spread, with 200 HP dozer, no compaction, 2 mile RT haul",,,,,,,,,
31 05 16.10,Borrow,100,Bank run gravel,B-15,600.0,0.047,L.C.Y.,27.5,2.52,4181.0,34.83,39.0
31 05 16.10,Borrow,300,"Crushed stone (1.40 tons per C.Y.), 1-1/2""",,600.0,0.047,,20.5,2.52,4.81,27.83,31.5
31 05 16.10,Borrow,320,"3/4""",,600.0,0.047,,20.5,2.52,4.81,27.83,31.5
31 05 16.10,Borrow,340,"1/2""",,600.0,0.047,,18.55,2.52,4.81,25.88,29.5
31 05 16.10,Borrow,360,"3/8""",,600.0,-0.047,,23.0,2.52,4.81,30.33,34.0
31 05 16.10,Borrow,400,"Sand, washed, concrete",,600.0,0.047,,18.75,2.52,4.81,26.08,29.5
31 05 16.10,Borrow,500,Dead or bank sand,,600.0,0.047,,13.7,2.52,4.81,21.03,24.0
31 05 16.10,Borrow,600,Select structural fill,B-15,600.0,0.047,L.C.Y.,16.25,2.52,4.81,23.58,27.0
31 05 16.10,Borrow,900,"For 5 mile haul, add",B 34B,200.0,0.04,,,2.12,3.84,5.96,7.4
31 05 23.30,Plant Mixed Bituminous Concrete,10,PLANT MIXED BITUMINOUS CONCRETE,,,,,,,,,
31 05 23.30,Plant Mixed Bituminous Concrete,20,Asphaltic concrete plant mix (145 lb./C.F.),,,,Ton,80.0,,,68.0,75.0
31 05 23.30,Plant Mixed Bituminous Concrete,40,Asphaltic concrete less than 300 tons add trucking costs,,,,,,,,,
31 05 23.30,Plant Mixed Bituminous Concrete,200,"All weather patching mix, hot",,,,Ton,64.5,,,64.5,71.0
31 05 23.30,Plant Mixed Bituminous Concrete,250,Cold patch,,,,,85.0,,,85.0,93.5
31 05 23.30,Plant Mixed Bituminous Concrete,300,Berm mix,,,,,69.5,,,69.5,76.5
31 06 60.14,Piling Special Costs,10,PILING SPECIAL COSTS,,,,,,,,,
31 06 60.14,Piling Special Costs,11,"Piling special costs, pilecaps, see Section 03 30 53.40",,,,,,,,,
31 06 60.14,Piling Special Costs,500,"Cutoffs, concrete piles, plain",,5.5,1.455,Ea.,,84.5,,84.50,131
31 06 60.14,Piling Special Costs,600,"With steel thin shell, add",,38.0,0.211,,,12.25,,12.25,18.95
31 06 60.14,Piling Special Costs,700,"Steel pile or ""H"" piles",,19.0,0.421,,,24.5,,24.50,38
31 06 60.14,Piling Special Costs,800,Wood piles,,38.0,1.211,,,12.25,,12.25,18.95
31 06 60.14,Piling Special Costs,900,"Pre-augering up to 30' deep, average soil, 24"" diameter",B-43,180.0,0.267,L.F.,,13.4,4.37,17.77,25
31 06 60.14,Piling Special Costs,9201,"36"" diameter",,115.0,0.417,,,21.0,6.85,27.85,39
31 06 60.14,Piling Special Costs,960,"48"" diameter",,70.0,0.686,,,34.5,11.25,45.75,64
31 06 60.14,Piling Special Costs,980,"60"" diameter",,50.0,0.96,,,48.5,15.7,64.20,89.50
31 06 60.14,Piling Special Costs,1000,"Testing, any type piles, test load is twice the design load",,,,,,,,,
31 06 60.14,Piling Special Costs,1050,"50 ton design load, 100 ton test",,,,Eo.,,,,"14,000","# 15,500"
31 06 60.14,Piling Special Costs,1100,"100 ton design load, 200 ton test",,,,,,,,"20,000","22,000"
31 06 60.14,Piling Special Costs,1150,"150 ton design load, 300 ton test",,,,,,,,"26,000","28,500"
31 06 60.14,Piling Special Costs,1200,"200 ton design load, 400 ton test",,,,,,,,"28,000","31,000"
31 06 60.14,Piling Special Costs,1250,"400 ton design load, 800 ton test",,,,,,,,"32,000","35,000"
31 06 60.14,Piling Special Costs,1500,"Wet conditions, soft damp ground",,,,,,,,,
31 06 60.14,Piling Special Costs,1600,"Requiring mats for crane, add",,,,,,,,,40 %
31 06 60.14,Piling Special Costs,1700,"Barge mounted driving rig, add",,,,,,,,,30 %
31 06 60.15,Mobilization,10,MOBILIZATION,,,,,,,,,
31 06 60.15,Mobilization,20,"Set up & remove, air compressor, 600 CFM",A 5,3.3,5.455,Ea .,,252,26,278,405
31 06 60.15,Mobilization,100,"1,200 CFM",i ??,2.2,8.182,,,375,38.50,413.50,605
31 06 60.15,Mobilization,200,"Crane, with pile leads and pile hammer, 75 ton",B -19,0.6,107.0,,,"6,325","3,500","9,825","13,500"
31 06 60.15,Mobilization,300,150 ton,"""",1.36,178.0,,,"10,500","5,850","16,350","22,500"
31 06 60.15,Mobilization,500,"Drill rig, for caissons, to 36"", minimum",B 43,2.0,24.0,Ea .,,"1,200",395,"1,595","2,225"
31 06 60.15,Mobilization,520,Maximum,,0.5,96.0,,,"4,825","1,575","6,400","8,925"
31 06 60.15,Mobilization,600,"Up to 84""",,1.0,48.0,,,"2,425",785,"3,210","4,475"
31 06 60.15,Mobilization,800,"Auxiliary boiler, for steam small",A 5,1.66,10.843,,,500,51,551,800
31 06 60.15,Mobilization,900,Large,"""",0.83,21.687,,,"1,000",102,"1,102","1,625"
31 06 60.15,Mobilization,1100,"Rule of thumb: complete pile driving set up, small",B -19,0.45,142.0,,,"8,425","4,675","13,100","18,000"
31 06 60.15,Mobilization,1200,Large,R,0.27,237.0,,,"14,000","7,800","21,800","30,000"
31 06 60.15,Mobilization,1500,"Mobilization, barge, by tug boat",B-83,25.0,0.64,Mile,,34,30,64,83.50
31 11 10.10,Clear and Grub Site,10,CLEAR AND GRUB SITE,,,,,,,,,
31 11 10.10,Clear and Grub Site,20,"Cut & chip light trees to 6"" diam.",B 7,1.0,48.0,Acre,,"2,325","1,800","4,125","5,425"
31 11 10.10,Clear and Grub Site,150,Grub stumps and remove,B -30,2.0,12.0,,,665,"1,250","1,915","2,400"
31 11 10.10,Clear and Grub Site,200,"Cut & chip medium trees to 12"" diam.",B 7,0.7,68.571,,,"3,325","2,550","5,875","7,750"
31 11 10.10,Clear and Grub Site,250,Grub stumps and remove,B -30,1.0,24.0,,,"1,325","2,525","3,850","4,750"
31 11 10.10,Clear and Grub Site,300,"Cut & chip heavy trees to 24"" diam.",B 7,0.3,160.0,,,"7,750","5,975","13,725","18,100"
31 11 10.10,Clear and Grub Site,350,Grub stumps and remove,B -30,0.5,48.0,,,"2,675","5,050","7,725","9,525"
31 11 10.10,Clear and Grub Site,400,"If burning is allowed, deduct cut & chip",,,,,,,,,40%
31 11 10.10,Clear and Grub Site,3000,"Chipping stumps, to 18"" deep, 12"" diam.",B -86,20.0,0.4,Eo .,,243,13,37,50.50
31 11 10.10,Clear and Grub Site,3040,"18"" diameter",,16.0,0.5,,,30,16.25,46.25,36312
31 11 10.10,Clear and Grub Site,3080,"24"" diameter",,14.0,0.571,,,34.50,18.55,53.05,72
31 11 10.10,Clear and Grub Site,3100,"30"" diameter",,12.0,0.667,,,40.50,21.50,62,84
31 11 10.10,Clear and Grub Site,3120,"36"" diameter",110,,0.8,,,48.50,26,74.50,101
31 11 10.10,Clear and Grub Site,3160,"48"" diameter",,8.0,,,,60.50,32.50,93,126
31 11 10.10,Clear and Grub Site,5000,"Tree thinning, feller buncher, conifer",,,,,,,,,
31 11 10.10,Clear and Grub Site,5080,"Up to 8"" diameter",B -93,240.0,0.033,Eq .,,2.01,4.65,6.66,8.10
31 11 10.10,Clear and Grub Site,5120,"12"" diameter",,160.0,0.05,,,3.02,7,10.02,12.20
31 11 10.10,Clear and Grub Site,5240,"Hardwood, up to 4"" diameter",,240.0,0.033,,,2.01,4.65,6.66,8.10
31 11 10.10,Clear and Grub Site,5280,"8"" diameter",,180.0,0.044,,,2.68,6.20,8.88,10.85
31 11 10.10,Clear and Grub Site,5320,"12"" diameter",,120.0,0.067,4,,4.03,9.30,13.33,16.25
31 11 10.10,Clear and Grub Site,7000,"Tree removal, congested area, aerial lift truck",,,,,,,,,
31 11 10.10,Clear and Grub Site,7040,"8"" diameter",B -85,7.0,5.714,Eo .,,286,169,455,610
31 11 10.10,Clear and Grub Site,7080,"12"" diameter",,6.0,6.667,,,335,198,533,710
31 11 10.10,Clear and Grub Site,7120,"18"" diameter",,5.0,8.0,,,400,237,637,855
31 11 10.10,Clear and Grub Site,7160,"24"" diameter",,4.0,-10.0,,,500,296,796,"1,075"
31 11 10.10,Clear and Grub Site,7240,"36"" diameter",,3.0,13.333,,,665,395,"1,060","1,425"
31 11 10.10,Clear and Grub Site,7280,"48"" diameter",,2.0,20.0,,,"1,000",595,"1,595","2,150"
13 13.10,Selective Clearing,10,SELECTIVE CLEARING,,,,,,,,,
13 13.10,Selective Clearing,20,Clearing brush with brush saw,A-1C,0.25,32.0,Acre,,"1,450",194,"1,644","2,400"
