Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
04 01 20.20,Pointing Masonry,10,POINTING MASONRY,nan,nan,nan,nan,,nan,nan,nan,nan
04 01 20.20,Pointing Masonry,300,"Cut and repoint brick, hard mortar, running bond",1 Bric,80.0,0.1,S.F.,0.83,5.55,nan,6.38,9.2
04 01 20.20,Pointing Masonry,320,Common bond,nan,77.0,0.104,nan,0.83,5.75,nan,6.58,9.5
04 01 20.20,Pointing Masonry,360,Flemish bond,nan,70.0,0.114,nan,0.87,6.3,nan,7.17,10.45
04 01 20.20,Pointing Masonry,400,English bond,nan,65.123,nan,nan,0.87,6.8,nan,7.67,11.15
04 01 20.20,Pointing Masonry,600,"Soft old mortar, running bond",nan,100.0,0.08,nan,0.83,4.42,nan,5.25,7.55
04 01 20.20,Pointing Masonry,620,Common bond,nan,96.0,1.083,nan,0.83,4.6,nan,5.43,7.8
04 01 20.20,Pointing Masonry,640,Flemish bond,nan,90.0,1.089,nan,0.87,4.91,nan,5.78,8.3
04 01 20.20,Pointing Masonry,680,English bond,nan,82.0,0.098,nan,0.87,5.4,nan,6.27,9.05
04 01 20.20,Pointing Masonry,700,"Stonework, hard mortar",nan,140.0,0.057,L.F.,1.1,3.16,nan,4.26,5.95
04 01 20.20,Pointing Masonry,720,Soft old mortar,nan,160.0,0.05,nan,1.1,2.76,nan,3.86,5.35
04 01 20.20,Pointing Masonry,1000,"Repoint, mask and grout method, running bond",nan,95.0,0.084,S.F,1.1,4.65,nan,5.75,8.2
04 01 20.20,Pointing Masonry,1020,Common bond,nan,90.0,1.089,nan,1.1,4.91,nan,6.01,8.55
04 01 20.20,Pointing Masonry,1040,Flemish bond,nan,86.0,1.093,nan,1.16,5.15,nan,6.31,9.0
04 01 20.20,Pointing Masonry,1060,English bond,nan,77.104,nan,nan,1.16,5.75,nan,6.91,9.9
04 01 20.20,Pointing Masonry,2000,"Scrub coat, sand grout on walls, thin mix, brushed",nan,120.0,0.067,nan,4.96,3.68,nan,8.64,11.0
04 01 20.20,Pointing Masonry,2020,Troweled,nan,98.0,0.082,nan,6.95,4.51,nan,11.46,14.35
04 01 20.30,Pointing CMU,10,POINTING CMU,nan,nan,nan,nan,,nan,nan,nan,nan
04 01 20.30,Pointing CMU,300,"Cut and repoint block, hard mortar, running bond",1 Bric,190.0,0.042,S.F,0.34,2.33,nan,2.67,3.86
04 01 20.30,Pointing CMU,310,Stacked bond,nan,200.0,0.04,nan,0.34,2.21,nan,2.55,3.69
04 01 20.30,Pointing CMU,600,"Soft old mortar, running bond",nan,230.0,0.035,nan,0.34,1.92,nan,2.26,3.26
04 01 20.30,Pointing CMU,610,Stacked bond,nan,245.0,0.033,nan,0.34,1.8,nan,2.14,3.08
04 01 20.40,Sawing Masonry,10,SAWING MASONRY,nan,nan,nan,nan,,nan,nan,nan,nan
04 01 20.40,Sawing Masonry,50,"Brick or block by hand, per inch depth",A 1,125.0,0.064,LF,0.05,2.92,0.88,3.85,5.4
04 01 20.41,Unit Masonry Stabilization,10,UNIT MASONRY STABILIZATION,nan,nan,nan,nan,,nan,nan,nan,nan
