Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6125,"Steel surface treatments, PDCA guidelines",nan,nan,nan,nan,,nan,nan,nan,nan
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6170,"Wire brush, hand (SSPC -SP2 )",1 Psst,400.0,0.02,S.F.,0.03,0.98,nan,1.01,1.6
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6180,Power tool (SSPC -SP3 ),nan,700.0,0.011,nan,0.08,0.56,nan,0.64,0.98
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6215,"Pressure washing, up to 5,000 psi, 5,000-15,000 S.F./day",1 Pord,10000.0,0.001,nan,nan,0.04,nan,0.04,0.06
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6220,"Steam cleaning, 600 psi @ 300 °F, 1,250-2,500 S.F./day",nan,2000.0,0.004,nan,nan,0.19,nan,0.19,0.28
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6225,"Water blasting, up to 25,000 psi, 1,750-3,500 S.F./day",nan,2500.0,0.003,nan,nan,0.15,nan,0.15,0.23
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6230,Brush-off blast (SSPC -SP7 ),E-11,1750.0,0.018,nan,0.19,0.92,0.18,1.29,1.81
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6235,"Com'l blast (SSPC -SP6 ), loose scale, fine pwder rust,2.0 #/S.F.sand",nan,1200.0,0.027,nan,0.38,1.34,0.26,1.98,2.76
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6240,"Tight millscale, littl/ no rust, 3.0 #/S.F.sand",nan,1000.0,0.032,nan,0.57,1.6,0.31,2.48,3.44
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6245,"Exist coat blistered/pitted, 4.0 #/S.F. sand",nan,875.0,0.037,nan,0.76,1.83,0.35,2.94,4.04
