Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,150,Heavy duty reinforcement add,nan,914.0,0.044,S.F.,0.6,2.15,0.12,2.87,4
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,160,2.5 # / S.Y .metal lath substrate add,1 Lath,75.0,0.107,S.Y.,5.05,5.95,nan,11,14.2
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,170,3.4 # / S.Y .metal lath substrate add,"""",75.0,0.107,"""",5.15,5.95,nan,11.101,14.4
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,180,Color or texture change,1,1265.0,0.032,S.F.,0.76,1.56,0.09,2.4=,3.2
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,190,With substrate leveling base coat,1 Plas,530.0,0.015,nan,0.87,.78,nan,1.65,2.1
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,210,With substrate sealing base coat,1 Pord,1224.0,0.007,nan,0.14,.31,nan,.45,6
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,370,V groove shape in panel face,nan,nan,nan,L.F.,0.74,nan,nan,74,8
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,380,U groove shape in panel face,nan,nan,nan,nan,0.89,nan,nan,.89,S
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,440,"For higher than one story, add",nan,nan,nan,nan,,nan,25 %,nan,nan
07 25 10.10,Weather Barriers or Wraps,10,WEATHER BARRIERS,nan,nan,nan,nan,,nan,nan,nan,nan
07 25 10.10,Weather Barriers or Wraps,400,"Asphalt felt paper, # 15",1 Carp,37.0,0.216,Sq.,4.43,12.15,nan,16.58,23
07 25 10.10,Weather Barriers or Wraps,401,Per square foot,"""",3700.0,0.002,S.F.,,0.04,0.12,nan,0.16
07 25 10.10,Weather Barriers or Wraps,450,"Housewrap, exterior, spun bonded polypropylene",nan,nan,nan,nan,,nan,nan,nan,nan
07 25 10.10,Weather Barriers or Wraps,470,Small roll,11 Carp,3800.0,0.002,S.F.,0.14,0.12,nan,0.26,.
07 25 10.10,Weather Barriers or Wraps,480,Large roll,"""",4000.002,nan,"""",0.06,0.11,nan,0.17,r7
07 25 10.10,Weather Barriers or Wraps,2100,"Asphalt felt roof deck vapor barrier, class 1 metal decks",11 Rofc,37.0,216.0,Sq.,19.85,10.7,nan,30.55,39.5
07 25 10.10,Weather Barriers or Wraps,2200,For all other decks,"""",37.0,1.216,nan,15.4,10.7,nan,26.1,34.5
07 25 10.10,Weather Barriers or Wraps,2800,"Asphalt felt, 50% recycled content, 15 lb, 4 sq./roll",1 Carp,36.0,0.222,nan,5.7,12.5,nan,18.2,25
07 25 10.10,Weather Barriers or Wraps,2810,"30 lb., 2 sq./roll",1,36.0,0.222,nan,12.75,12.5,nan,25.25,32.5
07 25 10.10,Weather Barriers or Wraps,3000,"Building wrap, spun bonded polyethylene",2 Carp,8000.0,0.002,S.F.,,0.18,0.11,nan,0.29
