Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
06 05 05.10,Selective Demolition Wood Framing,10,SELECTIVE DEMOLITION WOOD FRAMING,,,,,,,,,
06 05 05.10,Selective Demolition Wood Framing,100,"Timber connector, nailed, small",1 Clab,96.0,0.083,Ea.,,3.80,,3.80,5.6
06 05 05.10,Selective Demolition Wood Framing,110,Medium,,60.0,0.133,,,6.10,,6.10,9.0
06 05 05.10,Selective Demolition Wood Framing,120,Large,,48.0,0.167,,,7.60,,7.60,11.8
06 05 05.10,Selective Demolition Wood Framing,130,"Bolted, small",,48.167,,,,7.60,,7.60,11.3
06 05 05.10,Selective Demolition Wood Framing,140,Medium,,32.0,0.25,,,11.40,,11.40,17
06 05 05.10,Selective Demolition Wood Framing,150,Large,,24.0,0.333,V,,15.20,,15.20,22.5
06 05 05.10,Selective Demolition Wood Framing,2958,"Beams, 2"" x 6""",2 Clab,1100.0,0.015,LF,,.66,,.66,S
06 05 05.10,Selective Demolition Wood Framing,2960,"2"" x 8""",,825.0,0.019,,,.88,,.88,1.3
06 05 05.10,Selective Demolition Wood Framing,2965,"2"" x 10""",,665.0,0.024,,,1.10,,1.10,1.6
06 05 05.10,Selective Demolition Wood Framing,2970,"2"" x 12""",,550.0,0.029,,,1.33,,1.33,1.9
06 05 05.10,Selective Demolition Wood Framing,2972,"2"" x 14""",,470.0,0.034,,,1.55,,1.55,2.3
06 05 05.10,Selective Demolition Wood Framing,2975,"4"" x 8""",B -1,413.0,0.058,,,2.69,,2.69,4
06 05 05.10,Selective Demolition Wood Framing,2980,"4"" x 10""",,330.0,0.073,,,3.37,,3.37,5
06 05 05.10,Selective Demolition Wood Framing,2985,"4"" x 12""",,275.0,0.087,,,4.04,,4.04,6
06 05 05.10,Selective Demolition Wood Framing,3000,"6"" x 8""",,275.0,1.087,,,4.04,,4.04,6
06 05 05.10,Selective Demolition Wood Framing,3040,"6"" x 10""",,220.0,0.109,,,,5.05,5955,7.5
06 05 05.10,Selective Demolition Wood Framing,3080,"6"" x 12""",,185.0,0.13,,,,6,9,8.9
06 05 05.10,Selective Demolition Wood Framing,3120,"8"" x 12""",,140.0,0.171,,,7.95,,7.95,11.8
06 05 05.10,Selective Demolition Wood Framing,3160,"10"" x 12""",,110.0,0.218,,,10.10,,10.10,15.0
06 05 05.10,Selective Demolition Wood Framing,3162,Alternate pricing method,,1.1,21.818,M.B.F.,,"1,000",,"1,000","1,500"
06 05 05.10,Selective Demolition Wood Framing,3170,"Blocking, in 16"" OC wall framing, 2"" x 4""",1 Clab,600.0,0.013,L.F.,,.61,.696,,9
06 05 05.10,Selective Demolition Wood Framing,3172,"2"" x 6""",,400.0,0.02,,,.91,.911,,1.3
06 05 05.10,Selective Demolition Wood Framing,3174,"In 24"" OC wall framing, 2"" x 4""",,600.0,0.013,,,.61,.61,,9
06 05 05.10,Selective Demolition Wood Framing,3176,"2"" x 6""",,400.0,0.02,,,.91,.91,,1.3
06 05 05.10,Selective Demolition Wood Framing,3178,"Alt method, wood blocking removal from wood framing",,0.4,20.0,M.B.F.,,910,910,€,"1,350"
06 05 05.10,Selective Demolition Wood Framing,3179,Wood blocking removal from steel framing,,0.36,22.222,,,"1,025","1,025",,"1,500"
06 05 05.10,Selective Demolition Wood Framing,3180,"Bracing, letin, 1"" x 3"", studs 16"" OC",,1050.0,0.008,LF,,.35,3.353,,in
06 05 05.10,Selective Demolition Wood Framing,3181,"Studs 24"" OC",,1080.0,0.007,,,.34,.34 1,,in
06 05 05.10,Selective Demolition Wood Framing,3182,"1"" x 4"", studs 16"" OC",11 Clab,1050.0,0.008,LF.,,.35,.35,,in
06 05 05.10,Selective Demolition Wood Framing,3183,"Studs 24"" OC",,-1080.007,,,,.34,.34,,in
06 05 05.10,Selective Demolition Wood Framing,3184,"1"" x 6"", studs 16"" OC",,1050.0,0.008,,,.35,.35,,in
06 05 05.10,Selective Demolition Wood Framing,3185,"Studs 24"" OC",,1080.0,0.007,,,,.34,.34,
06 05 05.10,Selective Demolition Wood Framing,3186,"2"" x 3"", studs 16"" OC",,800.0,0.01,,,.46,.46,,.6
06 05 05.10,Selective Demolition Wood Framing,3187,"Studs 24"" OC",,830.0,0.01,,,.44,.44,,.6
06 05 05.10,Selective Demolition Wood Framing,3188,"2"" x 4"", studs 16"" OC",,800.0,0.01,,,.46,.46,,.6
06 05 05.10,Selective Demolition Wood Framing,3189,"Studs 24"" OC",,830.0,0.01,,,.44,.44,,.6
06 05 05.10,Selective Demolition Wood Framing,3190,"2"" x 6"", studs 16"" OC",,800.0,0.01,,,.46,.44,,.6
06 05 05.10,Selective Demolition Wood Framing,3191,"Studs 24"" OC",,830.0,0.01,,,.44,44,,.6
06 05 05.10,Selective Demolition Wood Framing,3192,"2"" x 8"", studs 16"" OC",,800.0,0.01,,,.46,.46,,.6
06 05 05.10,Selective Demolition Wood Framing,3193,"Studs 24"" OC",,830.0,0.01,,,.44,.44,,.6
06 05 05.10,Selective Demolition Wood Framing,3194,"""T"" shaped metal bracing, studs at 16"" OC",,1060.0,0.008,,,.34,.34,,.5
06 05 05.10,Selective Demolition Wood Framing,3195,"Studs at 24"" OC",,1200.0,0.007,,,.30,.30,,.4
06 05 05.10,Selective Demolition Wood Framing,3196,"Metal straps, studs at 16"" OC",,1200.0,0.007,,,.30,.30,,4
06 05 05.10,Selective Demolition Wood Framing,3197,"Studs at 24"" OC",,1240.0,0.006,,,.29,.291,,4
06 05 05.10,Selective Demolition Wood Framing,3199,"2"" x 6"", studs 16"" OC",,480.017,,S.F.,,.76,.76,,1.1
06 05 05.10,Selective Demolition Wood Framing,3200,"Columns, round, 8' to 14' tall",,40.0,0.2,Eo.,,9.10,9.10,,13.6
06 05 05.10,Selective Demolition Wood Framing,3202,Dimensional lumber sizes,12 Clab,1.1,14.545,M.B.F.,,665,6651,,990
06 05 05.10,Selective Demolition Wood Framing,3250,"Blocking, between joists",1 Clab,320.0,0.025,Eo.,1.0,1.14,1.14,,1.7
06 05 05.10,Selective Demolition Wood Framing,3252,"Bridging, metal strap, between joists",,320.0,0.025,Pr.,,1.14,1.14,,1.7
06 05 05.10,Selective Demolition Wood Framing,3254,"Wood, between joists",,320.0,0.025,,,1.14,1.14,,1.7
06 05 05.10,Selective Demolition Wood Framing,3260,"Door buck, studs, header & access, 8' high 2"" x 4"" wall, 3' wide",,32.0,0.25,Ea.,,11.40,11.40,,17
06 05 05.10,Selective Demolition Wood Framing,3261,4' wide,,32.25,,1,,11.40,11.40,,17
06 05 05.10,"06 05 05 - Selective Demolition for Wood, Plastics, and Composites",3262,5' wide,11 Clab,32.0,0.25,Ea.,,11.40,,11.40,17
06 05 05.10,"06 05 05 - Selective Demolition for Wood, Plastics, and Composites",3263,6' wide,,32.0,0.25,,,11.40,,11.40,17
06 05 05.10,"06 05 05 - Selective Demolition for Wood, Plastics, and Composites",3264,8' wide,,,0.267,,,12.15,,12.15,18.10
06 05 05.10,"06 05 05 - Selective Demolition for Wood, Plastics, and Composites",3265,10' wide,,,0.267,,,12.15,,12.15,18.10
06 05 05.10,"06 05 05 - Selective Demolition for Wood, Plastics, and Composites",3266,12' wide,,,0.267,,,12.15,,12.15,18.10
