Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,150,Heavy duty reinforcement add,,914.0,0.044,S.F.,0.6,2.15,0.12,2.87,4
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,160,2.5 # / S.Y .metal lath substrate add,1 Lath,75.0,0.107,S.Y.,5.05,5.95,,11,14.2
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,170,3.4 # / S.Y .metal lath substrate add,"""",75.0,0.107,"""",5.15,5.95,,11.101,14.4
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,180,Color or texture change,1,1265.0,0.032,S.F.,0.76,1.56,0.09,2.4=,3.2
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,190,With substrate leveling base coat,1 Plas,530.0,0.015,,0.87,.78,,1.65,2.1
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,210,With substrate sealing base coat,1 Pord,1224.0,0.007,,0.14,.31,,.45,6
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,370,V groove shape in panel face,,,,L.F.,0.74,,,74,8
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,380,U groove shape in panel face,,,,,0.89,,,.89,S
07 24 13.10,Polymer-Based Exterior Insulation and Finish Systems,440,"For higher than one story, add",,,,,,,25 %,,
07 25 10.10,Weather Barriers or Wraps,10,WEATHER BARRIERS,,,,,,,,,
07 25 10.10,Weather Barriers or Wraps,400,"Asphalt felt paper, # 15",1 Carp,37.0,0.216,Sq.,4.43,12.15,,16.58,23
07 25 10.10,Weather Barriers or Wraps,401,Per square foot,"""",3700.0,0.002,S.F.,,0.04,0.12,,0.16
07 25 10.10,Weather Barriers or Wraps,450,"Housewrap, exterior, spun bonded polypropylene",,,,,,,,,
07 25 10.10,Weather Barriers or Wraps,470,Small roll,11 Carp,3800.0,0.002,S.F.,0.14,0.12,,0.26,.
07 25 10.10,Weather Barriers or Wraps,480,Large roll,"""",4000.002,,"""",0.06,0.11,,0.17,r7
07 25 10.10,Weather Barriers or Wraps,2100,"Asphalt felt roof deck vapor barrier, class 1 metal decks",11 Rofc,37.0,216.0,Sq.,19.85,10.7,,30.55,39.5
07 25 10.10,Weather Barriers or Wraps,2200,For all other decks,"""",37.0,1.216,,15.4,10.7,,26.1,34.5
07 25 10.10,Weather Barriers or Wraps,2800,"Asphalt felt, 50% recycled content, 15 lb, 4 sq./roll",1 Carp,36.0,0.222,,5.7,12.5,,18.2,25
07 25 10.10,Weather Barriers or Wraps,2810,"30 lb., 2 sq./roll",1,36.0,0.222,,12.75,12.5,,25.25,32.5
07 25 10.10,Weather Barriers or Wraps,3000,"Building wrap, spun bonded polyethylene",2 Carp,8000.0,0.002,S.F.,,0.18,0.11,,0.29
07 26 13.10,Vapor Retarders Above-Grade,10,VAPOR RETARDERS,,,,,,,,,
07 26 13.10,Vapor Retarders Above-Grade,20,"Aluminum and kraft laminated, foil 1 side",UUGUUU5551 Carp,37.0,0.216,Sq.,12.0,12.15,,24.15,31.5
07 26 13.10,Vapor Retarders Above-Grade,100,Foil 2 sides,,37.0,0.216,,17.55,12.15,,29.7,37.5
07 26 13.10,Vapor Retarders Above-Grade,600,"Polyethylene vapor barrier, standard, 2 mil",G,37.0,22222222.0,,2.0,12.15,,14.15,20.5
07 26 13.10,Vapor Retarders Above-Grade,700,4 mil,G,37.0,0.216,,4.4,12.15,,16.55,23.0
07 26 13.10,Vapor Retarders Above-Grade,900,6 mil,,37.0,0.216,,6.0,12.15,,18.15,24.5
07 26 13.10,Vapor Retarders Above-Grade,1200,10 mil,G,37.0,0.216,,8.15,12.15,,20.3,27.0
07 26 13.10,Vapor Retarders Above-Grade,1300,"Clear reinforced, fire retardant, 8 mil",G,37.0,0.216,,25.5,12.15,,37.65,46.0
07 26 13.10,Vapor Retarders Above-Grade,1350,"Cross laminated type, 3 mil",,37.0,0.216,,12.3,12.15,,24.45,31.5
07 26 13.10,Vapor Retarders Above-Grade,1400,4 mil,,37.0,0.216,,13.65,12.15,,25.8,33.0
07 26 13.10,Vapor Retarders Above-Grade,1800,"Reinf. waterproof, 2 mil polyethylene backing, 1 side",,37.0,0.216,,11.5,12.15,,23.65,31.0
07 26 13.10,Vapor Retarders Above-Grade,1900,2 sides,,37.0,0.216,,14.5,12.15,,26.65,330.0
07 26 13.10,Vapor Retarders Above-Grade,2400,Waterproofed kraft with sisal or fiberglass fibers,,37.0,0.216,,18.05,12.15,,30.2,38.0
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,10,ELASTOMERIC SHEET WATERPROOFING AND ACCESS.,,,,,,,,,
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,90,"EPDM, plain, 45 mils thick",2 Rofc,580.0,0.028,S.F.,0.79,1.37,,2.16,3.08
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,100,60 mils thick,*,570.0,0.028,,0.91,1.39,,2.3,3.26
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,300,"Nylon reinforced sheets, 45 mils thick",,580.0,0.028,,0.97,1.37,,2.34,3.29
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,400,60 mils thick,,570.0,0.028,,1.13,1.39,,2.52,3.5
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,3600,"Vulcanizing splicing tape for above, 2"" wide",,,,C.L.F.,63.0,,,631.0,69.5
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,700,"4"" wide",,,,"""",355.0,,,355.0,390.0
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,900,"Adhesive, bonding, 60 S.F./gal.",,,,Gal.,42.0,,,42.0,46.0
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1000,"Splicing, 75 S.F./gal.",,,,Gal.,37.0,,,37.0,40.5
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1200,"Neoprene sheets, plain, 45 mils thick",2 Rofc,580.0,0.028,S.F.,1.31,1.37,,2.68,3.66
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1300,60 mils thick,,570.0,0.028,,2.03,1.39,,3.42,4.49
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1500,"Nylon reinforced, 45 mils thick",,580.0,0.028,,2.63,1.37,,4.0,5.1
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1600,60 mils thick,,570.0,0.028,,4.81,1.39,,6.2,7.55
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1800,120 mils thick,,500.0,0.032,,8.1,1.59,,9.69,11.45
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,1900,"Adhesive, splicing, 150 S.F./gal. per coat",,,,Gal.,37.0,,,37.0,40.5
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,2100,"Fiberglass reinforced, fluid applied, 1/8"" thick",2 Rofc,500.0,0.032,S.F.,1.58,1.59,,3.17,4.31
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,2200,"Polyethylene and rubberized asphalt sheets, 60 mils thick",,550.0,0.029,,0.7,1.44,,2.14,3.11
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,2400,"Polyvinyl chloride sheets, plain, 10 mils thick",,580.0,0.028,,0.17,1.37,,1.54,2.41
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,2500,20 mils thick,,570.0,0.028,,0.23,1.39,,1.62,2.51
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,2700,30 mils thick,,560.0,0.029,,0.23,1.42,,1.65,2.55
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,3000,"Adhesives, trowel grade, 40-100 S.F./gal.",,,,Gal.,28.5,,,28.5,31.5
07 13 53.10,Elastomeric Sheet Waterproofing and Access.,3100,"Brush grade, 100-250 S.F./gal.",,,,"""",25.5,,,25.5,28.5
