Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
09 01 70.10,Gypsum Wall,09 01 60 - Maintenance of Flooring,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,Gypsum Wall,09 01 60.10 Carpet Maintenance,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,Gypsum Wall,0010,CARPET MAINTENANCE,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,Gypsum Wall,0020,"Steam clean, per cleaning, routine maintenance",1 Clab,3000.0,0.003,S.F.,,.550,0.128,nan,0.233
09 01 70.10,Gypsum Wall,0500,Stain removal,"""",2000.0,0.004,"""",,.15,0.18,nan,0.33
09 01 70.10,Gypsum Wall,09 01 70- Maintenance of Wall Finishes,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,Gypsum Wall,09 01 70.10 Gypsum Wallboard Repairs,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,Gypsum Wall,0010,GYPSUM WALLBOARD REPAIRS,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,Gypsum Wall,0100,"Fill and sand, pin / nailholes",1 Carp,960.0,0.008,Ea,,nan,0.47,nan,0.47
09 01 70.10,Gypsum Wall,0110,Screw head pops,nan,480.0,0.017,nan,nan,0.94,nan,0.94,1.0
09 01 70.10,Gypsum Wall,0120,"Dents, up to 2"" square",nan,48.0,0.167,nan,ད.01,9.4,nan,9.41,13.0
09 01 70.10,Gypsum Wall,0130,"2"" to 4"" square",nan,24.0,0.333,nan,ཛ.04,18.75,nan,18.79,28.0
09 01 70.10,Gypsum Wall,0140,"Cut square, patch, sand and finish, holes, up to 2"" square",nan,12.0,0.667,nan,ཀ.03,37.5,nan,37.53,56.0
09 01 70.10,Gypsum Wall,0150,"2"" to 4"" square",nan,11.0,0.727,nan,➢.07,41.0,nan,41.07,61.0
09 01 70.10,Gypsum Wall,0160,"4"" to 8"" square",nan,10.0,0.8,nan,⇨.19,45.0,nan,45.19,67.0
09 01 70.10,Gypsum Wall,0170,"8"" to 12"" square",nan,8.0,1.0,nan,༈.38,56.5,nan,56.88,84.0
09 01 70.10,Gypsum Wall,0180,"12"" to 32"" square",nan,6.0,1.333,nan,1.36,75.0,nan,76.36,113.0
09 01 70.10,Gypsum Wall,0210,"16"" by 48""",nan,5.0,1.6,nan,2.25,90.0,nan,92.25,136.0
09 01 70.10,Gypsum Wall,0220,"32"" by 48""",nan,4.0,nan,nan,3.56,113.0,nan,116.56,172.0
09 01 70.10,Gypsum Wall,0230,"48"" square",nan,3.5,2.286,nan,4.98,129.0,nan,133.98,197.0
09 01 70.10,Gypsum Wall,0240,"60"" square",nan,3.2,2.5,nan,7.60,141.0,nan,148.6,218.0
09 01 70.10,Gypsum Wall,0500,Skim coat surface with joint compound,nan,1600.0,0.005,S.F.,,ཛྱ.04,0.28,nan,0.32
09 01 70.10,Gypsum Wall,0510,"Prepare, retape and refinish joints",nan,60.0,0.133,L.F.,ཤ .75,7.5,nan,8.25,12.0
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,09 01 90 - Maintenance of Painting and Coating,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,09 01 90.92 Sanding,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0010,"SANDING and puttying interior trim, compared to R099100-10",nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0100,"Painting 1 coat, on quality work",nan,nan,nan,L.F.,,nan,nan,nan,100 %
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0300,Medium work,nan,nan,nan,nan,,nan,nan,nan,50 %
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0400,Industrial grade,nan,nan,nan,nan,,nan,nan,nan,25 %
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0500,"Surface protection, placement and removal",nan,nan,nan,nan,,nan,nan,nan,nan
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0510,"Surface protection, placement and removal, basic drop cloths",11 Pord,6400.0,0.001,S.F.,,nan,0.06,nan,.658
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0520,Masking with paper,nan,800.0,0.01,nan,,0.07,0.48,nan,.55
09 01 70.10,09 01 90 - Maintenance of Painting and Coating,0530,Volume cover up (using plastic sheathing or building paper),nan,16000.0,0.001,nan,,nan,0.02,nan,.02
09 01 90.93,Exterior Surface Preparation,09 01 90.93 Exterior Surface Preparation,nan,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 90.93,Exterior Surface Preparation,0010,EXTERIOR SURFACE PREPARATION R099100-10,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 90.93,Exterior Surface Preparation,0015,"Doors, per side, not incl. frames or trim",nan,nan,nan,nan,,nan,nan,nan,nan
09 01 90.93,Exterior Surface Preparation,0020,Scrape & sand,nan,nan,nan,nan,,nan,nan,nan,nan
09 01 90.93,Exterior Surface Preparation,0030,"Wood, flush",1 Pord,616.0,0.013,S.F.,,nan,0.62,nan,0.62
09 01 90.93,Exterior Surface Preparation,0040,"Wood, detail",nan,496.0,0.016,nan,nan,0.77,nan,0.77,1.0
09 01 90.93,Exterior Surface Preparation,0050,"Wood, louvered",nan,280.0,0.029,nan,nan,1.37,nan,1.37,2.0
09 01 90.93,Exterior Surface Preparation,0060,"Wood, overhead",nan,616013.0,nan,nan,,nan,0.62,nan,0.62
