Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
nan,Engraved Panel Signage,2100,"4"" x 8""",1 Carp,24.0,0.333,Ea.,53.50,18.75,nan,72.25,86.50
nan,Engraved Panel Signage,2110,"4"" x 10""",nan,24.0,0.333,nan,53.50,18.75,nan,72.25,87
nan,Engraved Panel Signage,2120,"4"" x 12""",nan,24.0,0.333,nan,53.50,18.75,nan,72.25,87
nan,Engraved Panel Signage,7000,"Wayfinding signage, custom",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Engraved Panel Signage,7010,"Plastic, flexible, 1/8"" thick, incl. mounting",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Engraved Panel Signage,7020,"6"" x 6""",1 Carp,32.0,0.25,Ea.,85,14.1,nan,99.10,115
nan,Engraved Panel Signage,7030,"6"" x 12""",nan,32.0,0.25,nan,85,14.1,nan,99.10,115
nan,Engraved Panel Signage,7040,"6"" x 24""",nan,28.0,0.286,nan,59,16.1,nan,75.10,89
nan,Engraved Panel Signage,7050,"8"" x 8""",nan,32.0,0.25,nan,nan,14.1,nan,29.10,37.50
nan,Engraved Panel Signage,7060,"8"" x 16""",nan,28.0,0.286,nan,47,16.1,nan,63.10,75.50
nan,Engraved Panel Signage,7070,"8"" x 24""",nan,26.0,0.308,nan,62,17.3,nan,79.30,94.50
nan,Engraved Panel Signage,7080,"12"" x 12""",nan,28.0,0.286,nan,23.50,16.1,nan,39.60,50
nan,Engraved Panel Signage,7090,"12"" x 24""",nan,24.0,0.333,nan,29.50,18.75,nan,48.25,60.50
nan,Engraved Panel Signage,7100,"12"" x 36""",nan,20.0,0.4,nan,54,22.5,nan,76.50,93
nan,Engraved Panel Signage,7210,"Weather resistant, engraved and color filled",nan,nan,nan,nan,,nan,nan,nan,nan
nan,Engraved Panel Signage,7220,"8"" x 8""",1 Carp,32.0,0.25,Ea.,36.50,14.1,nan,50.60,61
nan,Engraved Panel Signage,7230,"8"" x 16""",nan,28.0,0.286,nan,50.50,16.1,nan,66.60,79.50
nan,Engraved Panel Signage,7240,"8"" x 24""",nan,26.0,0.308,nan,70.50,17.3,nan,87.80,104
nan,Engraved Panel Signage,7250,"12"" x 12""",nan,28.0,0.286,nan,41,16.1,nan,57.10,69
nan,Engraved Panel Signage,7260,"12"" x 24""",nan,24.0,0.333,nan,70.50,18.75,nan,89.25,106
nan,Engraved Panel Signage,7270,"12"" x 36""",nan,20.0,0.4,nan,165,22.5,nan,187.50,216
nan,Engraved Panel Signage,7280,"16"" x 32""",2 Carp,60.0,0.267,nan,54,55.0,nan,109,164
nan,Engraved Panel Signage,7290,"16"" x 48""",nan,60.0,0.267,nan,72,15.0,nan,87,102
nan,Engraved Panel Signage,7320,"For engraved letters, 1/2"" high, add",nan,nan,nan,nan,27.50,nan,nan,27.50,30.50
nan,Engraved Panel Signage,7330,"1"" high, add",nan,nan,nan,nan,31,nan,nan,31,34
nan,Engraved Panel Signage,7340,"2"" high, add",nan,nan,nan,nan,1.20,nan,nan,1.20,1.32
nan,Engraved Panel Signage,7350,"3"" high, add",nan,nan,nan,nan,1.20,nan,nan,1.20,1.32
nan,Engraved Panel Signage,7360,"For engraved graphic symbols, 3"" high, add",nan,nan,nan,nan,16,nan,nan,16,17.60
nan,Engraved Panel Signage,7370,"7"" high, add",nan,nan,nan,nan,16.45,nan,nan,16.45,18.10
nan,Engraved Panel Signage,7380,"10"" high, add",nan,nan,nan,nan,16.45,nan,nan,16.45,18.10
nan,Engraved Panel Signage,9990,Replace interior labels,1 Carp,12.0,0.667,nan,32.50,37.5,nan,70,92
nan,Engraved Panel Signage,9991,Replace interior plaques,"""",12.0,0.667,nan,106,37.5,nan,143.50,172
nan,Engraved Panel Signage,25,"24"" W x 18"" H",1 Carp,25.0,0.96,Ea.,144,44.5,nan,188.50,225
nan,Engraved Panel Signage,50,"36"" W x 24"" H",nan,25.0,0.96,nan,"1,200",44.5,nan,"1,244.50","1,400"
nan,Engraved Panel Signage,100,"57"" W x 36"" H",nan,25.0,0.96,nan,"2,100",44.5,nan,"2,144.50","2,400"
nan,Engraved Panel Signage,150,"81"" W x 46"" H",nan,25.0,0.96,nan,"2,575",44.5,nan,"2,619.50","2,900"
