Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6125,"Steel surface treatments, PDCA guidelines",nan,nan,nan,nan,,nan,nan,nan,nan
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6170,"Wire brush, hand (SSPC -SP2 )",1 Psst,400,0.02,S.F.,0.03,0.98,nan,1.01,1.6
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6180,Power tool (SSPC -SP3 ),nan,700,0.011,nan,0.08,0.56,nan,0.64,0.98
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6215,"Pressure washing, up to 5,000 psi, 5,000-15,000 S.F./day",1 Pord,10000,0.001,nan,nan,0.04,nan,0.04,0.06
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6220,"Steam cleaning, 600 psi @ 300 °F, 1,250-2,500 S.F./day",nan,2000,0.004,nan,nan,0.19,nan,0.19,0.28
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6225,"Water blasting, up to 25,000 psi, 1,750-3,500 S.F./day",nan,2500,0.003,nan,nan,0.15,nan,0.15,0.23
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6230,Brush-off blast (SSPC -SP7 ),E-11,1750,0.018,nan,0.19,0.92,0.18,1.29,1.81
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6235,"Com'l blast (SSPC -SP6 ), loose scale, fine pwder rust,2.0 #/S.F.sand",nan,1200,0.027,nan,0.38,1.34,0.26,1.98,2.76
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6240,"Tight millscale, littl/ no rust, 3.0 #/S.F.sand",nan,1000,0.032,nan,0.57,1.6,0.31,2.48,3.44
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6245,"Exist coat blistered/pitted, 4.0 #/S.F. sand",nan,875,0.037,nan,0.76,1.83,0.35,2.94,4.04
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6250,"Exist coat badly pitted/nodules, 6.7 #/S.F. sand",nan,825,0.039,nan,1.27,1.94,0.38,3.59,4.8
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6255,"Near white blast (SSPC -SP10 ), loose scale, fine rust,5.6 #/S.F.sand",nan,450,0.071,nan,1.06,3.56,0.69,5.31,7.45
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6260,"Tight millscale, littl/ no rust,6.9 #/S.F.sand",E-11,325,0.098,S.F.,1.31,4.93,0.95,7.19,10.1
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6265,"Exist coat blistered/pitted, 9.0 #/S.F. sand",nan,225,0.142,nan,1.71,7.15,1.38,10.24,14.4
05 01 10.51,0010 CLEANING OF STRUCTURAL METAL FRAMING,6270,"Exist coat badly pitted/nodules, 11.3 #/S.F. sand",nan,150,0.213,+,2.14,10.7,2.07,14.91,21
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",15,"Excludes shores, bracing, cutting, loading, hauling, dumping",nan,nan,nan,nan,,nan,nan,nan,nan
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",20,"Remove nuts only up to 3/4"" diameter",1 Sswk,480,0.017,Ea,nan,1.03,nan,1.03,1.59
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",30,"7/8"" to 1-1/4"" diameter",nan,240,0.033,nan,nan,2.06,nan,2.06,3.18
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",40,"1-3/8"" to 2"" diameter",nan,160,0.05,nan,nan,3.09,nan,3.09,4.76
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",60,"Unbolt and remove structural bolts up to 3/4"" diameter",nan,240,0.033,nan,nan,2.06,nan,2.06,3.18
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",70,"7/8"" to 2"" diameter",nan,160,0.05,nan,nan,3.09,nan,3.09,4.76
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",140,"Light weight framing members, remove whole or cut up, up to 20 lb.",nan,240,0.033,nan,nan,2.06,nan,2.06,3.18
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",150,21-40 lb.,2 Sswk,240,0.076,nan,nan,4.71,nan,4.71,7.25
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",160,41-80 lb.,3 Sswk,180,0.133,nan,nan,8.25,nan,8.25,12.7
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",170,81-120 lb.,4 Sswk,150,0.213,nan,nan,13.2,nan,13.2,20.5
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",230,"Structural members, remove whole or cut up, up to 500 lb.",E-19,48,0.5,nan,nan,30.5,17,47.5,65
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",240,1/4-2 tons,E-18,36,1.111,nan,nan,69,22.5,91.5,130
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",250,2-5 tons,E-24,30,1.067,nan,nan,65.5,70,135.5,177
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",260,5-10 tons,E-20,24,2.667,nan,nan,163,91,254,350
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",270,10-15 tons,E-2,18,3.111,nan,nan,191,138,329,445
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",340,"Fabricated item, remove whole or cut up, up to 20 lb.",1 Sswk,96,0.083,nan,nan,5.15,nan,5.15,7.95
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",350,21-40 lb.,.2 Sswk,84,0.19,nan,nan,11.8,nan,11.8,18.15
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",360,41-80 lb.,3 Sswk,72,0.333,nan,nan,20.5,nan,20.5,32
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",370,81-120 lb.,4 Sswk,60,0.533,nan,nan,33,nan,33,51
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",380,121-500 lb.,E-19,48,0.5,nan,nan,30.5,17,47.5,65
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",390,501-1000 lb.,nan,36,0.667,nan,nan,40.5,22.5,63,87
05 05 05.10,"0010 SELECTIVE DEMOLITION, METALS R024119-10",500,"Steel roof decking, uncovered, bare",B-2,5000,0.008,S.F.,nan,0.37,nan,0.37,0.55
05 05 13.50,0010 PAINTS AND PROTECTIVE COATINGS,5900,"Galvanizing structural steel in shop, under 1 ton",nan,nan,nan,Ton,695,nan,nan,695,760
05 05 13.50,0010 PAINTS AND PROTECTIVE COATINGS,5950,1 ton to 20 tons,nan,nan,nan,nan,660,nan,nan,660,725
05 05 13.50,0010 PAINTS AND PROTECTIVE COATINGS,6000,Over 20 tons,nan,nan,nan,nan,640,nan,nan,640,700
05 05 19.10,Chemical Anchors,10,CHEMICAL ANCHORS,nan,nan,nan,nan,,nan,nan,nan,nan
05 05 19.10,Chemical Anchors,20,Includes layout & drilling,nan,nan,nan,nan,,nan,nan,nan,nan
05 05 19.10,Chemical Anchors,1430,"Chemical anchor, w/ rod & epoxy cartridge, 3/4"" diameter x 9-1/2"" long",B-89A,2722765,0.593,Ea.,7.7,31,4.41,43.11,60
05 05 19.10,Chemical Anchors,1435,"1"" diameter x 11-3/4"" long",nan,24,0.667,nan,15.1,35,4.97,55.07,74
05 05 19.10,Chemical Anchors,1440,"1-1/4"" diameter x 14"" long",nan,21,0.762,nan,29.5,40,5.7,75.2,98.5
05 05 19.10,Chemical Anchors,1445,"1-3/4"" diameter x 15"" long",nan,20,0.8,nan,70,42,5.95,117.95,146
05 05 19.10,Chemical Anchors,1450,"18"" long",nan,17,0.941,nan,84,49,7,140,174
05 05 19.10,Chemical Anchors,1455,"2"" diameter x 18"" long",nan,16,nan,nan,123,52.5,7.45,182.95,222
05 05 19.10,Chemical Anchors,1460,"24"" long",nan,15,1.067,nan,162,55.5,7.95,225.45,270
05 05 19.20,Expansion Anchors,10,EXPANSION ANCHORS,nan,nan,nan,nan,,nan,nan,nan,nan
05 05 19.20,Expansion Anchors,100,"Anchors for concrete, brick or stone, no layout and drilling",555555GG1GCorp,90,0.089,Eq1.,0.35,5,nan,5.35,7.85
05 05 19.20,Expansion Anchors,200,"Expansion shields, zinc, 1/4"" diameter, 1-5/16"" long, single",nan,85,0.094,nan,0.67,5.3,nan,5.97,8.65
05 05 19.20,Expansion Anchors,300,"1-3/8"" long, double",nan,85,0.094,nan,0.7,5.3,nan,6,8.65
05 05 19.20,Expansion Anchors,400,"3/8"" diameter, 1-1/2"" long, single",nan,80,0.1,nan,1.47,5.65,nan,7.12,10
05 05 19.20,Expansion Anchors,500,"2"" long, double",nan,80,0.1,nan,1.22,5.65,nan,6.87,9.75
05 05 19.20,Expansion Anchors,600,"1/2"" diameter, 2-1/16"" long, single",nan,75RRS,0.107,nan,2.51,99,nan,8.51,11.7
05 05 19.20,Expansion Anchors,700,"2-1/2"" long, double",nan,75,0.107,nan,2.77,6,nan,8.77,12
05 05 19.20,Expansion Anchors,800,"5/8"" diameter, 2-5/8"" long, single",nan,70,0.114,nan,3.54,6.45,nan,9.99,13.5
05 05 19.20,Expansion Anchors,900,"2-3/4"" long, double",nan,70,0.114,nan,4.39,6.45,nan,10.84,14.45
05 05 19.20,Expansion Anchors,1000,"3/4"" diameter, 2-3/4"" long, single",nan,65,0.123,nan,6.45,6.95,nan,13.4,17.35
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2100,"Hollow wall anchors for gypsum wall board, plaster or tile",nan,nan,nan,nan,,nan,nan,nan,nan
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2300,"1/8"" diameter, short",GGGGGGGGGGCarp55,160,0.05,Ea.,2.272222342434,22.82,nan,3.09,4.49
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2400,Long,nan,150,0.053,nan,0.31,nan,nan,3.31,4.81
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2500,"3/16"" diameter, short",nan,150,0.053,nan,0.52,33,nan,3.52,5.05
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2600,Long,nan,140,0.057,nan,0.6,3.22,nan,3.82,5.45
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2700,"1/4"" diameter, short",nan,140,0.057,nan,0.65,33.2261,nan,3.87,5.5
05 05 19.20,"Hollow wall anchors for gypsum wall board, plaster or tile",2800,Long,nan,130,0.062,nan,0.79,3.46,nan,4.25,6
05 05 19.20,"Toggle bolts, bright steel",3000,"1/8"" diameter, 2"" long",nan,85,0.094,nan,0.25,5.3,nan,5.55,8.2
05 05 19.20,"Toggle bolts, bright steel",3100,"4"" long",nan,80,0.1,nan,0.29,5.65,nan,5.94,8.7
05 05 19.20,"Toggle bolts, bright steel",3200,"3/16"" diameter, 3"" long",nan,80,0.1,nan,nan,5.65,nan,5.98,8.75
05 05 19.20,"Toggle bolts, bright steel",3300,"6"" long",nan,75,0.107,nan,0.46,nan,nan,6.46,9.45
05 05 19.20,"Toggle bolts, bright steel",3400,"1/4"" diameter, 3"" long",nan,75,0.107,nan,0.38,nan,nan,6.38,9.35
05 05 19.20,"Toggle bolts, bright steel",3500,"6"" long",nan,70,0.114,nan,0.57,6.45,nan,7.02,10.25
05 05 19.20,"Toggle bolts, bright steel",3600,"3/8"" diameter, 3"" long",nan,70,0.114,nan,1.01,6.45,nan,7.46,10.7
05 05 19.20,"Toggle bolts, bright steel",3700,"6"" long",G,60,0.133,nan,1.56,7.5,nan,9.06,12.85
05 05 19.20,"Toggle bolts, bright steel",3800,"1/2"" diameter, 4"" long",nan,60,0.133,nan,2.26,7.5,nan,9.76,13.65
05 05 19.20,"Toggle bolts, bright steel",3900,"6"" long",nan,50,0.16,nan,2.57,9,nan,11.57,16.25
05 05 19.20,Nailing anchors,4000,Nailing anchors,nan,nan,nan,nan,,nan,nan,nan,nan
05 05 19.20,Nailing anchors,4100,"Nylon nailing anchor, 1/4"" diameter, 1"" long",1 Carp,3.2,2.5,C,17.7,141,nan,158.7,230
05 05 19.20,Nailing anchors,4200,"1-1/2"" long",nan,2.8,2.857,nan,20,161,nan,181,261
05 05 19.20,Nailing anchors,4300,"2"" long",nan,2.4,3.333,nan,25,188,nan,213,305
05 05 19.20,Nailing anchors,4400,"Metal nailing anchor, 1/4"" diameter, 1"" long",G55,3.2,2.5,nan,15.8,141,nan,156.8,227
05 05 19.20,Nailing anchors,4500,"1-1/2"" long",nan,2.8,2.857,nan,20,161,nan,181,261
05 05 19.20,Nailing anchors,4600,"2"" long",nan,2.4,3.333,nan,24,188,nan,212,305
05 05 19.20,"Screw anchors for concrete, masonry, stone & tile, no layout or drilling included",5000,"Screw anchors for concrete, masonry, stone & tile, no layout or drilling included",nan,nan,nan,nan,,nan,nan,nan,nan
05 05 19.20,"Screw anchors for concrete, masonry, stone & tile, no layout or drilling included",5700,"Lag screw shields, 1/4"" diameter, short",5G15 Carp,90,0.089,Ea.,0.26,5,nan,5.26,7.75
05 05 19.20,"Screw anchors for concrete, masonry, stone & tile, no layout or drilling included",5800,Long,G,85,0.094,nan,0.34,5.3,nan,5.64,8.25
05 05 19.20,"Screw anchors for concrete, masonry, stone & tile, no layout or drilling included",5900,"3/8"" diameter, short",G,85,0.094,nan,0.57,5.3,nan,5.87,8.55
05 05 19.20,"Screw anchors for concrete, masonry, stone & tile, no layout or drilling included",6000,Long,G,80,0.1,nan,0.69,5.65,nan,6.34,9.15
05 05 19.20,Expansion Anchors,6100,"1/2"" diameter, short",555555G 1 Carp,80,0.1,Ea .,0.71,5.65,nan,6.36,9.2
05 05 19.20,Expansion Anchors,6200,Long,nan,75,0.107,nan,1.09,6,nan,7.09,10.15
05 05 19.20,Expansion Anchors,6300,"5/8"" diameter, short",nan,70,0.114,nan,1.06,6.45,nan,7.51,10.75
05 05 19.20,Expansion Anchors,6400,Long,nan,65,0.123,nan,1.63,6.95,nan,8.58,12.1
05 05 19.20,Expansion Anchors,6600,"Lead, #6 & #8, 3/4"" long",nan,260,0.031,nan,0.22,1.73,nan,1.95,2.82
05 05 19.20,Expansion Anchors,6700,"#10 - #14, 1-1/2"" long",nan,200,0.04,nan,0.51,2.25,nan,2.76,3.91
05 05 19.20,Expansion Anchors,6800,"#16 & #18, 1-1/2"" long",nan,160,0.05,nan,0.69,2.82,nan,3.51,4.95
05 05 19.20,Expansion Anchors,6900,"Plastic, #6 & #8, 3/4"" long",nan,260,0.031,nan,0.05,1.73,nan,1.78,2.12223
05 05 19.20,Expansion Anchors,7000,"#8 & #10, 7/8"" long",nan,240,0.033,nan,0.04,1.88,nan,1.92,2.83
05 05 19.20,Expansion Anchors,7100,"#10 & #12, 1"" long",nan,220,0.036,nan,0.07,2.05,nan,2.12,3.13
05 05 19.20,Expansion Anchors,7200,"#14 & #16, 1-1/2"" long",nan,160,0.05,nan,0.04,2.82,nan,2.86,4.23
05 05 19.20,"Wedge anchors, not including layout or drilling",8050,"Carbon steel, 1/4"" diameter, 1-3/4"" long",G 1 Carp,150,0.053,Ea .,0.75,33,nan,3.75,5380
05 05 19.20,"Wedge anchors, not including layout or drilling",8100,"3-1/4"" long",nan,140,0.057,nan,0.98,3.22,nan,4.2,5.85
